代码,名称,类型,现价,涨跌幅,RSI6,K值,量比,反弹空间,更新时间
605136,丽人丽妆,A-点火反弹,7.18,-1.1%,27.9,40.2,1.52,28.1%,2026-07-13
002973,侨银股份,B-极致企稳,10.21,0.59%,23.3,23.1,1.03,21.3%,2026-07-13
