代码,名称,类型,调整天数,单阳日,缩量比,现价
002706,良信股份,中势,5,2026-02-12,0.49,11.54
000712,锦龙股份,中势,5,2026-02-12,0.52,12.96
601700,风范股份,中势,5,2026-02-12,0.59,6.11
603969,银龙股份,中势,5,2026-02-12,0.52,10.73
601666,平煤股份,中势,5,2026-02-10,0.59,8.9
600668,尖峰集团,中势,5,2026-02-10,0.23,11.59
603303,得邦照明,中势,5,2026-02-10,0.56,15.6
002382,蓝帆医疗,中势,4,2026-02-13,0.57,6.08
603022,新通联,中势,4,2026-02-13,0.54,11.63
003015,日久光电,中势,4,2026-02-11,0.35,17.46
002198,嘉应制药,中势,4,2026-02-13,0.43,7.33
603966,法兰泰克,中势,4,2026-02-12,0.47,13.45
601965,中国汽研,中势,4,2026-02-13,0.55,20.0
603088,宁波精达,中势,4,2026-02-13,0.55,13.54
600510,黑牡丹,强势,1,2026-02-26,0.57,10.46
