代码,名称,调整天数,现价,单阳涨幅,地量比,止损参考,建议关注
603279,景津装备,1,18.75,10.0%,0.49,16.79,🔥极强
600153,建发股份,2,9.51,5.56%,0.5,9.02,🔥极强
