代码,名称,类型,现价,涨跌幅,RSI6,K值,量比,反弹空间,更新时间
603766,隆鑫通用,B-极致企稳,11.49,-1.79%,21.2,27.5,0.54,22.2%,2026-06-24
002412,汉森制药,B-极致企稳,5.96,-1.16%,17.5,27.0,0.7,11.9%,2026-06-24
