代码,名称,类型,现价,涨跌幅,RSI6,K值,量比,反弹空间,更新时间
003040,楚天龙,B-极致企稳,16.11,0.12%,20.0,26.5,0.61,8.0%,2026-04-20
600415,小商品城,B-极致企稳,12.36,1.56%,22.4,14.2,1.1,16.8%,2026-04-20
