代码,名称,类型,现价,涨跌幅,RSI6,K值,量比,反弹空间,更新时间
600333,长春燃气,A-点火反弹,5.18,3.19%,24.2,24.2,1.12,6.9%,2026-07-01
603105,芯能科技,A-点火反弹,6.97,2.35%,20.0,16.3,1.13,34.2%,2026-07-01
600072,中船科技,A-点火反弹,8.78,3.42%,27.2,17.3,1.38,32.4%,2026-07-01
002769,普路通,A-点火反弹,6.75,3.37%,25.0,15.4,1.3,30.4%,2026-07-01
002471,中超控股,A-点火反弹,6.09,1.0%,24.6,15.3,1.12,29.9%,2026-07-01
000856,冀东装备,A-点火反弹,7.36,2.94%,22.1,24.6,1.22,29.2%,2026-07-01
600610,中毅达,A-点火反弹,6.77,3.36%,25.8,18.3,1.28,27.2%,2026-07-01
002045,国光电器,A-点火反弹,8.06,2.68%,28.8,25.0,1.14,27.2%,2026-07-01
600250,南京商旅,A-点火反弹,7.92,2.72%,23.0,21.9,1.23,26.9%,2026-07-01
000554,泰山石油,A-点火反弹,5.73,2.14%,18.2,15.3,1.14,26.8%,2026-07-01
605388,均瑶健康,A-点火反弹,5.02,3.93%,28.7,23.7,1.26,26.7%,2026-07-01
600099,林海股份,A-点火反弹,8.3,4.01%,28.2,24.9,1.15,26.2%,2026-07-01
600692,亚通股份,A-点火反弹,5.61,3.31%,22.2,23.2,1.11,25.9%,2026-07-01
600493,凤竹纺织,A-点火反弹,5.49,4.77%,28.4,19.6,1.23,25.9%,2026-07-01
002537,海联金汇,A-点火反弹,5.53,4.54%,27.6,17.7,1.81,25.8%,2026-07-01
000676,智度股份,A-点火反弹,5.27,3.13%,26.7,23.0,1.29,25.5%,2026-07-01
603086,先达股份,A-点火反弹,5.34,2.89%,23.4,27.5,1.32,25.2%,2026-07-01
002093,国脉科技,A-点火反弹,6.48,2.86%,29.2,21.3,1.28,25.1%,2026-07-01
002765,蓝黛科技,A-点火反弹,7.23,3.88%,28.6,18.9,1.35,24.8%,2026-07-01
