代码,名称,类型,现价,涨跌幅,RSI6,K值,量比,反弹空间,更新时间
600135,乐凯胶片,A-点火反弹,8.02,0.38%,27.8,24.5,1.15,24.6%,2026-07-01
000617,中油资本,A-点火反弹,6.84,3.79%,27.8,19.0,1.32,24.5%,2026-07-01
002790,瑞尔特,A-点火反弹,5.52,3.76%,27.0,24.9,1.44,24.0%,2026-07-01
605108,同庆楼,A-点火反弹,11.68,2.82%,28.9,25.7,1.16,23.8%,2026-07-01
002599,盛通股份,A-点火反弹,5.24,2.75%,29.9,27.5,1.23,23.7%,2026-07-01
600706,曲江文旅,A-点火反弹,6.95,3.27%,19.6,24.5,1.46,23.5%,2026-07-01
603326,我乐家居,A-点火反弹,6.34,2.92%,22.5,27.9,1.21,23.5%,2026-07-01
603817,海峡环保,A-点火反弹,5.3,3.72%,22.1,21.1,1.21,23.4%,2026-07-01
603385,惠达卫浴,A-点火反弹,5.04,3.28%,25.8,30.2,1.26,23.3%,2026-07-01
002649,博彦科技,A-点火反弹,8.31,2.09%,29.0,27.5,1.11,23.3%,2026-07-01
605268,王力安防,A-点火反弹,9.18,2.23%,20.2,21.5,1.72,23.2%,2026-07-01
000978,桂林旅游,A-点火反弹,5.38,3.07%,27.4,27.1,1.33,23.0%,2026-07-01
002968,新大正,A-点火反弹,8.64,2.13%,26.1,28.9,1.13,23.0%,2026-07-01
000576,甘化科工,A-点火反弹,6.73,2.44%,25.3,28.7,1.38,22.7%,2026-07-01
600313,农发种业,A-点火反弹,5.35,2.1%,20.4,20.9,1.31,22.5%,2026-07-01
002543,万和电气,A-点火反弹,6.3,1.29%,25.8,25.0,1.32,22.4%,2026-07-01
000020,深华发Ａ,A-点火反弹,11.17,2.48%,29.3,31.0,1.43,22.1%,2026-07-01
000565,渝三峡Ａ,A-点火反弹,5.86,3.17%,25.7,24.6,1.28,21.4%,2026-07-01
002696,百洋股份,A-点火反弹,5.13,3.22%,23.5,23.0,1.14,21.3%,2026-07-01
002098,浔兴股份,A-点火反弹,6.58,2.81%,24.0,26.9,1.17,21.0%,2026-07-01
600561,江西长运,A-点火反弹,5.17,4.44%,26.8,26.6,1.49,20.9%,2026-07-01
002320,海峡股份,A-点火反弹,6.43,2.55%,25.0,15.9,1.41,20.9%,2026-07-01
603839,安正时尚,A-点火反弹,5.95,3.12%,23.9,27.8,1.18,20.7%,2026-07-01
600097,开创国际,A-点火反弹,8.02,3.08%,23.5,25.6,1.33,20.5%,2026-07-01
600359,新农开发,A-点火反弹,5.59,3.52%,25.8,20.0,1.24,20.4%,2026-07-01
000953,河化股份,A-点火反弹,5.35,3.68%,29.5,25.2,1.38,20.3%,2026-07-01
002091,江苏国泰,A-点火反弹,7.24,0.14%,25.0,17.3,1.16,20.1%,2026-07-01
003016,欣贺股份,A-点火反弹,6.34,3.43%,29.2,28.9,1.35,20.0%,2026-07-01
605368,蓝天燃气,A-点火反弹,6.18,1.31%,16.7,17.1,1.12,19.7%,2026-07-01
603970,中农立华,A-点火反弹,9.93,3.12%,29.1,24.2,1.27,19.6%,2026-07-01
605138,盛泰集团,A-点火反弹,5.77,4.53%,28.1,23.9,1.46,19.5%,2026-07-01
600859,王府井,A-点火反弹,9.42,2.61%,25.7,20.1,1.2,19.3%,2026-07-01
000952,广济药业,A-点火反弹,5.69,4.98%,28.9,27.8,1.23,18.8%,2026-07-01
600560,金自天正,A-点火反弹,11.31,2.08%,23.5,30.3,1.11,18.0%,2026-07-01
603536,惠发食品,A-点火反弹,8.08,3.72%,28.2,25.5,1.27,17.7%,2026-07-01
002852,道道全,A-点火反弹,7.31,3.1%,29.5,25.5,1.46,17.5%,2026-07-01
600833,第一医药,A-点火反弹,9.37,3.88%,29.7,28.0,1.25,17.0%,2026-07-01
600101,明星电力,A-点火反弹,8.19,3.8%,29.8,18.5,1.31,16.2%,2026-07-01
000421,南京公用,A-点火反弹,5.1,2.82%,25.0,25.7,1.43,15.7%,2026-07-01
600814,杭州解百,A-点火反弹,6.28,2.95%,26.1,21.0,1.16,15.3%,2026-07-01
600834,申通地铁,A-点火反弹,6.72,2.13%,22.2,22.9,1.15,15.3%,2026-07-01
600398,海澜之家,A-点火反弹,5.36,2.49%,25.0,24.9,1.1,13.2%,2026-07-01
600125,铁龙物流,A-点火反弹,5.19,2.37%,27.1,23.1,1.2,13.0%,2026-07-01
603111,康尼机电,A-点火反弹,5.76,1.77%,25.5,27.0,1.11,12.3%,2026-07-01
600528,中铁工业,A-点火反弹,6.72,1.97%,23.7,18.8,1.13,12.2%,2026-07-01
600820,隧道股份,B-极致企稳,5.26,0.96%,24.2,21.1,0.71,9.5%,2026-07-01
600064,南京高科,B-极致企稳,7.24,1.54%,23.4,25.0,1.07,7.9%,2026-07-01
002490,山东墨龙,B-极致企稳,6.46,1.1%,22.6,13.0,0.84,32.8%,2026-07-01
002037,保利联合,B-极致企稳,6.34,1.6%,23.1,25.3,1.05,21.7%,2026-07-01
600778,友好集团,B-极致企稳,5.07,3.68%,23.9,23.2,0.86,21.5%,2026-07-01
002105,信隆健康,B-极致企稳,5.06,2.43%,23.9,26.9,0.9,19.9%,2026-07-01
603230,内蒙新华,B-极致企稳,8.89,1.83%,22.0,25.9,0.87,16.5%,2026-07-01
