代码,名称,类型,现价,涨跌幅,RSI6,K值,量比,反弹空间,更新时间
001330,博纳影业,A-点火反弹,5.32,4.52%,29.9,18.3,1.59,44.2%,2026-07-10
000936,华西股份,A-点火反弹,5.12,0.59%,24.4,24.3,1.23,30.1%,2026-07-10
002177,御银股份,A-点火反弹,5.36,2.49%,27.8,21.9,1.48,28.1%,2026-07-10
