代码,名称,类型,现价,涨跌幅,RSI6,K值,量比,反弹空间,更新时间
002434,万里扬,A-点火反弹,7.21,1.69%,23.4,18.9,1.16,9.0%,2026-06-02
605050,福然德,A-点火反弹,11.08,0.54%,26.2,17.9,1.13,15.2%,2026-06-02
