代码,名称,类型,现价,涨跌幅,RSI6,K值,量比,反弹空间,更新时间
600138,中青旅,A-点火反弹,7.82,1.69%,19.7,11.2,1.19,15.2%,2026-05-29
002423,中粮资本,A-点火反弹,9.17,0.88%,30.0,22.7,1.42,12.4%,2026-05-29
601898,中煤能源,A-点火反弹,15.68,1.36%,24.1,20.3,1.14,10.3%,2026-05-29
