代码,名称,类型,现价,涨跌幅,RSI6,K值,量比,反弹空间,更新时间
600281,华阳新材,A-点火反弹,5.47,1.48%,20.0,31.2,1.15,4.3%,2026-05-18
600493,凤竹纺织,A-点火反弹,7.37,1.8%,26.5,33.2,1.35,2.3%,2026-05-18
