代码,名称,类型,现价,涨跌幅,RSI6,K值,量比,反弹空间,更新时间
600516,方大炭素,B-极致企稳,5.1,0.39%,21.2,10.6,0.59,9.7%,2026-07-15
000881,中广核技,B-极致企稳,6.17,-0.16%,15.7,28.7,0.98,17.5%,2026-07-15
