代码,名称,类型,现价,涨跌幅,RSI6,K值,量比,反弹空间,更新时间
603901,永创智能,A-点火反弹,11.22,1.72%,24.1,16.0,1.25,9.6%,2026-06-05
000949,新乡化纤,A-点火反弹,6.72,2.13%,19.7,19.1,1.52,9.5%,2026-06-05
605366,宏柏新材,A-点火反弹,10.84,-3.21%,27.8,23.7,1.27,9.2%,2026-06-05
002584,西陇科学,A-点火反弹,7.55,0.8%,22.3,25.7,1.36,5.5%,2026-06-05
002248,华东数控,A-点火反弹,10.08,2.54%,22.4,10.8,1.52,23.5%,2026-06-05
002324,普利特,A-点火反弹,12.21,3.04%,25.3,14.8,1.63,22.2%,2026-06-05
603305,旭升集团,A-点火反弹,14.91,1.64%,19.0,16.3,1.53,2.9%,2026-06-05
002519,银河电子,A-点火反弹,6.62,2.48%,22.5,20.7,1.32,19.7%,2026-06-05
603088,宁波精达,A-点火反弹,10.5,2.54%,21.8,14.3,1.61,17.7%,2026-06-05
603528,多伦科技,A-点火反弹,6.9,3.76%,26.6,11.9,1.57,16.2%,2026-06-05
603178,圣龙股份,A-点火反弹,17.37,2.0%,30.0,13.9,1.16,1.7%,2026-06-05
600135,乐凯胶片,B-极致企稳,9.11,1.56%,23.0,12.1,0.94,16.8%,2026-06-05
