级别,名称,代码,现价,目标位,空间,止损位,RSI6,历史胜率,说明
LV1,广百股份,002187,7.18,7.92,10.3%,6.9,24.6,49%,常规回撤
LV1,榕基软件,002474,8.93,9.95,11.5%,8.57,34.4,49%,常规回撤
LV1,双鹭药业,002038,6.46,7.45,15.4%,6.27,37.0,49%,常规回撤
LV1,广农糖业,000911,6.59,7.42,12.6%,6.38,40.0,49%,常规回撤
