代码,名称,类型,现价,涨跌幅,RSI6,K值,量比,反弹空间,更新时间
002085,万丰奥威,A-点火反弹,13.87,1.76%,24.7,17.2,1.11,8.3%,2026-05-06
600468,百利电气,A-点火反弹,7.65,2.82%,24.7,23.8,1.1,5.3%,2026-05-06
600480,凌云股份,A-点火反弹,10.3,1.88%,25.8,14.1,1.35,4.9%,2026-05-06
603300,海南华铁,A-点火反弹,6.73,2.28%,29.5,21.9,1.19,4.5%,2026-05-06
601608,中信重工,A-点火反弹,6.03,-0.33%,29.7,22.5,1.27,12.0%,2026-05-06
000798,中水渔业,B-极致企稳,9.33,0.21%,18.1,19.5,0.75,14.9%,2026-05-06
