代码,名称,类型,现价,涨跌幅,RSI6,K值,量比,反弹空间,更新时间
002737,葵花药业,A-点火反弹,14.09,0.43%,22.9,23.0,1.1,4.5%,2026-02-25
600827,百联股份,B-极致企稳,8.91,0.34%,24.4,14.7,0.57,2.3%,2026-02-27
603511,爱慕股份,B-极致企稳,15.6,0.52%,24.2,35.3,1.08,1.8%,2026-02-27
