代码,名称,类型,现价,涨跌幅,RSI6,K值,量比,反弹空间,更新时间
600692,亚通股份,A-点火反弹,7.52,3.01%,27.8,14.9,1.44,3.8%,2026-04-16
000524,岭南控股,A-点火反弹,10.8,1.89%,23.5,34.0,1.21,13.8%,2026-04-16
001217,华尔泰,A-点火反弹,11.62,2.47%,29.8,31.4,1.3,12.1%,2026-04-16
600755,厦门国贸,B-极致企稳,6.36,0.16%,15.8,42.9,0.51,3.7%,2026-04-16
002644,佛慈制药,B-极致企稳,8.65,0.0%,23.5,33.7,0.67,3.0%,2026-04-16
601212,白银有色,B-极致企稳,8.04,1.77%,19.5,38.1,0.86,17.1%,2026-04-16
