代码,名称,类型,现价,涨跌幅,RSI6,K值,量比,反弹空间,更新时间
600000,浦发银行,A-点火反弹,8.69,-0.11%,26.5,20.2,1.11,7.1%,2026-07-03
000679,大连友谊,A-点火反弹,6.25,3.48%,28.4,13.0,1.25,6.9%,2026-07-03
600158,中体产业,A-点火反弹,6.8,-0.15%,23.9,14.6,1.43,52.6%,2026-07-03
605299,舒华体育,A-点火反弹,13.56,-0.22%,27.6,25.0,1.83,37.9%,2026-07-03
601600,中国铝业,A-点火反弹,8.33,1.96%,28.0,12.0,1.16,31.9%,2026-07-03
000039,中集集团,A-点火反弹,8.26,5.09%,29.6,17.3,1.44,29.0%,2026-07-03
601777,千里科技,A-点火反弹,8.15,4.09%,24.7,13.0,1.12,27.3%,2026-07-03
601886,江河集团,A-点火反弹,8.06,1.38%,19.6,13.4,1.12,13.0%,2026-07-03
000533,顺钠股份,B-极致企稳,9.46,1.72%,24.0,10.2,0.86,32.3%,2026-07-03
002416,爱施德,B-极致企稳,9.09,1.68%,21.4,17.2,0.73,30.2%,2026-07-03
000928,中钢国际,B-极致企稳,5.04,0.8%,18.9,14.5,0.77,23.1%,2026-07-03
002340,格林美,B-极致企稳,6.69,1.52%,24.4,20.7,0.81,19.1%,2026-07-03
600021,上海电力,B-极致企稳,14.95,1.56%,24.9,16.8,0.77,19.0%,2026-07-03
600192,长城电工,B-极致企稳,6.61,1.38%,24.0,17.8,0.73,18.9%,2026-07-03
603727,博迈科,B-极致企稳,16.97,1.5%,20.1,34.9,0.79,1.7%,2026-07-03
