代码,名称,类型,现价,涨跌幅,RSI6,K值,量比,反弹空间,更新时间
000876,新 希 望,A-点火反弹,6.08,2.01%,26.9,18.4,1.89,30.2%,2026-06-26
600551,时代出版,A-点火反弹,7.04,0.86%,28.9,33.1,1.9,10.2%,2026-06-26
000524,岭南控股,B-极致企稳,8.95,0.0%,19.6,49.1,0.0,10.1%,2026-06-26
