代码,名称,类型,现价,涨跌幅,RSI6,K值,量比,反弹空间,更新时间
605008,长鸿高科,A-点火反弹,11.9,0.59%,17.5,25.0,1.5,7.1%,2026-04-24
002258,利尔化学,A-点火反弹,14.1,1.81%,26.4,23.4,1.18,10.5%,2026-04-24
600084,中信尼雅,B-极致企稳,6.59,1.07%,22.0,24.5,0.74,4.3%,2026-04-24
