代码,名称,类型,现价,涨跌幅,RSI6,K值,量比,反弹空间,更新时间
002423,中粮资本,A-点火反弹,10.12,0.2%,20.8,24.4,1.27,6.6%,2026-04-28
603035,常熟汽饰,A-点火反弹,13.71,2.01%,24.5,29.0,1.26,6.4%,2026-04-28
000592,平潭发展,A-点火反弹,10.92,1.39%,26.0,28.0,1.52,2.6%,2026-04-28
002320,海峡股份,A-点火反弹,8.34,0.0%,27.9,27.9,1.76,13.8%,2026-04-28
