级别,说明,代码,名称,现价,RSI6,反弹空间,历史胜率,期望回报
LV1,常规回撤区,002038,双鹭药业,6.46,37.0,15.4%,49.5%,0.8%
LV1,常规回撤区,000911,广农糖业,6.59,40.0,12.6%,49.5%,0.8%
LV1,常规回撤区,002474,榕基软件,8.93,34.4,11.5%,49.5%,0.8%
LV1,常规回撤区,002187,广百股份,7.18,24.6,10.3%,49.5%,0.8%
