代码,名称,调整天数,单阳日,现价,筛选时间,缩量比,类型
603067,振华股份,3,2025-12-22,31.14,2026-02-28 03:35:48,0.6x,强势缩量型
600765,中航重机,3,2026-02-24,21.53,2026-02-28 03:35:48,0.45x,强势缩量型
002350,北京科锐,1,2026-02-26,12.32,2026-02-28 03:35:48,0.59x,强势缩量型
600510,黑牡丹,1,2026-02-26,10.46,2026-02-28 03:35:48,0.57x,强势缩量型
002931,锋龙股份,1,2025-12-17,21.65,2026-02-28 03:35:48,0.06x,强势缩量型
002843,泰嘉股份,1,2026-02-26,25.27,2026-02-28 03:35:48,0.31x,强势缩量型
002378,章源钨业,1,2026-02-26,40.6,2026-02-28 03:35:48,0.4x,强势缩量型
