日期,代码,类型,触发价,后1日%,后3日%,后5日%,后10日%
2021-07-30,000333,0-点火启动(精选),52.36,4.91,10.0,10.0,10.0
2022-03-11,002957,1-共振金叉(精选),16.11,-0.81,-5.0,-5.0,-5.0
2018-02-13,002755,2-极致缩量(精选),12.62,0.95,4.36,5.23,10.0
2018-06-26,002755,0-点火启动(精选),8.7,-0.92,1.15,3.1,10.0
2023-06-30,002755,0-点火启动(精选),8.67,-1.04,-2.88,-5.0,-5.0
2025-11-25,002755,0-点火启动(精选),17.15,0.76,2.8,0.58,-0.23
2010-07-06,600560,0-点火启动(精选),5.76,1.56,5.21,2.78,10.0
2014-05-06,600560,0-点火启动(精选),7.72,-1.17,-0.78,1.3,-1.94
2021-02-10,600560,2-极致缩量(精选),7.38,2.71,10.0,10.0,10.0
2022-04-29,600560,0-点火启动(精选),7.72,0.78,0.39,0.78,4.92
1997-07-31,600639,0-点火启动(精选),6.3,-1.11,-0.48,-1.59,-5.0
1997-08-01,600639,2-极致缩量(精选),6.23,-0.96,-2.09,1.12,-5.0
2021-05-25,600732,0-点火启动(精选),6.75,-0.89,10.0,10.0,10.0
2022-02-16,601100,2-极致缩量(精选),65.05,3.17,2.58,0.78,-2.67
2022-03-11,601100,1-共振金叉(精选),54.21,-3.25,-5.0,-5.0,-5.0
2012-11-21,002286,0-点火启动(精选),5.05,-1.19,-2.57,-5.0,-5.0
2018-09-14,002286,2-极致缩量(精选),6.4,-3.28,-0.63,1.72,-5.0
2018-06-05,002037,0-点火启动(精选),9.13,-0.22,0.0,0.44,-5.0
2018-06-06,002037,0-点火启动(精选),9.11,-0.22,0.0,1.98,-5.0
2018-06-28,002037,0-点火启动(精选),7.66,3.0,2.48,-3.26,-5.0
2024-01-24,002037,0-点火启动(精选),7.1,6.34,3.24,-5.0,-5.0
2012-12-04,000049,0-点火启动(精选),11.51,5.65,5.73,5.21,-5.0
2019-05-10,000049,0-点火启动(精选),16.83,-2.38,-2.61,-5.0,-5.0
2021-09-07,000049,1-共振金叉(精选),30.94,2.91,1.49,-0.03,-5.0
2022-04-13,000049,0-点火启动(精选),29.49,0.61,1.56,-0.88,-5.0
2023-05-10,000049,0-点火启动(精选),31.03,1.84,3.77,3.03,3.58
2025-04-11,000049,2-极致缩量(精选),19.79,1.67,0.76,0.91,4.45
2023-05-11,603392,1-共振金叉(精选),69.67,-0.75,1.69,-1.0,-1.55
2003-11-17,600775,2-极致缩量(精选),6.62,-0.91,10.0,10.0,10.0
2010-07-07,600775,1-共振金叉(精选),6.13,-1.14,4.73,5.71,10.0
2020-02-07,600775,0-点火启动(精选),8.22,1.7,5.6,6.08,10.0
2021-02-10,600775,2-极致缩量(精选),6.05,4.46,10.0,10.0,10.0
2011-10-13,002513,0-点火启动(精选),11.84,10.0,10.0,10.0,10.0
2011-06-07,002104,2-极致缩量(精选),6.64,1.05,-5.0,-5.0,-5.0
2020-12-17,002104,0-点火启动(精选),6.71,-1.04,-5.0,-5.0,-5.0
2018-02-08,002261,0-点火启动(精选),6.12,-1.31,0.49,3.27,10.0
2018-10-19,601611,0-点火启动(精选),5.64,4.79,2.84,2.84,10.0
2022-03-21,601611,2-极致缩量(精选),7.57,0.79,-0.79,-5.0,-5.0
2018-09-14,603881,0-点火启动(精选),9.68,1.55,4.75,3.41,-3.0
2020-09-14,603881,1-共振金叉(精选),23.57,0.93,1.95,3.99,0.51
2020-12-29,603881,0-点火启动(精选),18.82,3.29,4.14,2.23,0.43
2021-02-04,603881,0-点火启动(精选),16.78,-5.0,-5.0,-5.0,-5.0
2016-02-01,002470,2-极致缩量(精选),7.33,2.46,2.86,5.59,8.46
1998-03-06,600745,2-极致缩量(精选),12.25,1.22,5.06,4.65,9.22
1999-03-01,600745,2-极致缩量(精选),8.21,-0.12,4.14,3.17,9.01
1999-08-27,600745,2-极致缩量(精选),8.74,-2.29,-0.92,-1.49,-5.0
2003-10-31,600745,0-点火启动(精选),7.06,4.39,10.0,10.0,10.0
2010-07-02,600745,0-点火启动(精选),5.95,2.18,4.2,7.06,10.0
2011-12-16,600745,0-点火启动(精选),6.73,-5.0,-5.0,-5.0,-5.0
2012-08-03,600745,0-点火启动(精选),8.59,3.61,8.15,10.0,10.0
2014-03-18,600745,0-点火启动(精选),11.16,10.0,10.0,10.0,10.0
2018-12-25,600745,2-极致缩量(精选),22.4,-3.48,-5.0,-5.0,-5.0
2022-09-27,600745,0-点火启动(精选),51.26,-4.02,-5.0,-5.0,-5.0
2010-05-13,600826,0-点火启动(精选),6.18,0.81,-5.0,-5.0,-5.0
2010-05-21,600826,0-点火启动(精选),5.55,6.31,7.39,10.0,10.0
2011-06-23,600826,0-点火启动(精选),5.07,5.92,4.54,3.16,10.0
2011-10-11,600826,0-点火启动(精选),5.04,10.0,10.0,10.0,10.0
2017-11-24,600826,1-共振金叉(精选),9.27,-1.19,0.11,0.11,-5.0
2018-10-24,600826,1-共振金叉(精选),6.47,-0.77,-5.0,-5.0,-5.0
2018-10-25,600826,2-极致缩量(精选),6.42,1.25,-5.0,-5.0,-5.0
2020-12-31,600826,2-极致缩量(精选),5.31,0.75,-1.88,-5.0,-5.0
2021-08-24,002706,1-共振金叉(精选),16.13,-1.8,-5.0,-5.0,-5.0
1999-12-30,600843,2-极致缩量(精选),7.35,-5.0,-5.0,-5.0,-5.0
2000-01-04,600843,0-点火启动(精选),7.41,4.18,8.23,10.0,10.0
2010-05-14,600843,0-点火启动(精选),9.39,-5.0,-5.0,-5.0,-5.0
2010-07-06,600843,0-点火启动(精选),7.7,0.78,5.84,10.0,10.0
2011-06-23,600843,0-点火启动(精选),11.75,2.21,1.87,1.62,5.28
2011-12-20,600843,0-点火启动(精选),6.51,-2.15,-5.0,-5.0,-5.0
2012-08-01,600843,2-极致缩量(精选),6.62,-2.42,1.96,2.57,10.0
2017-05-26,600843,2-极致缩量(精选),12.83,-0.94,-5.0,-5.0,-5.0
2018-06-25,600843,0-点火启动(精选),8.22,0.97,-2.19,-1.7,-5.0
