日期,代码,类型,触发价,后1日%,后3日%,后5日%,后10日%
2020-04-02,600843,0-点火启动(精选),6.25,-1.28,3.04,5.12,10.0
2022-03-11,603186,2-极致缩量(精选),30.51,-2.72,-5.0,-5.0,-5.0
2022-04-18,603186,0-点火启动(精选),24.34,-5.0,-5.0,-5.0,-5.0
2024-01-11,603186,0-点火启动(精选),31.14,-1.41,-2.5,-5.0,-5.0
2020-05-25,002488,0-点火启动(精选),5.18,-0.19,-5.0,-5.0,-5.0
2025-10-21,002488,0-点火启动(精选),10.18,1.57,-1.47,-0.79,-1.57
2025-11-28,002488,2-极致缩量(精选),8.9,-1.35,-5.0,-5.0,-5.0
2018-02-08,603768,0-点火启动(精选),14.49,-5.0,-5.0,-5.0,-5.0
2020-02-07,603768,0-点火启动(精选),8.94,2.57,3.8,2.35,10.0
2024-01-25,603768,0-点火启动(精选),15.22,-0.26,-5.0,-5.0,-5.0
2024-02-08,603768,0-点火启动(精选),10.81,4.53,10.0,10.0,10.0
2025-04-11,603768,2-极致缩量(精选),10.91,2.84,0.92,1.47,6.69
2016-01-14,601231,1-共振金叉(精选),8.74,-5.0,-5.0,-5.0,-5.0
2018-05-08,601231,0-点火启动(精选),7.89,0.89,-0.63,-1.01,-5.0
2018-05-09,601231,0-点火启动(精选),7.96,-2.39,-1.51,-2.51,-5.0
2020-12-18,601231,1-共振金叉(精选),17.82,0.34,0.28,-5.0,-5.0
2021-05-14,601231,0-点火启动(精选),13.82,0.29,2.24,-0.8,6.15
2023-05-11,601231,1-共振金叉(精选),12.5,-1.12,0.16,2.08,4.0
2025-04-11,601231,1-共振金叉(精选),13.1,1.91,-2.52,-1.68,0.84
2001-08-03,600288,2-极致缩量(精选),7.51,-5.0,-5.0,-5.0,-5.0
2010-07-05,600288,0-点火启动(精选),6.52,2.76,0.46,10.0,10.0
2017-12-11,600288,2-极致缩量(精选),8.86,-2.14,-0.9,-2.03,-5.0
2018-06-25,600288,2-极致缩量(精选),6.61,4.08,10.0,10.0,10.0
2010-07-06,600110,0-点火启动(精选),5.4,1.11,6.11,2.96,9.07
2011-01-27,600110,0-点火启动(精选),6.52,1.99,4.45,10.0,10.0
2011-06-01,600110,1-共振金叉(精选),6.48,-5.0,-5.0,-5.0,-5.0
2018-06-26,600110,0-点火启动(精选),5.05,-1.19,-0.4,1.98,4.95
2011-01-27,601877,1-共振金叉(精选),6.44,1.09,4.04,6.52,10.0
2011-05-20,601877,2-极致缩量(精选),5.8,-5.0,-5.0,-5.0,-5.0
2020-03-20,601877,0-点火启动(精选),20.56,-4.43,-5.0,-5.0,-5.0
2022-09-07,601877,1-共振金叉(精选),29.25,-2.39,-2.12,-5.0,-5.0
2022-09-21,601877,1-共振金叉(精选),26.43,-1.32,-2.27,-5.0,-5.0
2020-03-20,603218,2-极致缩量(精选),10.85,-2.58,5.35,2.76,5.44
2024-09-12,601702,0-点火启动(精选),14.14,-2.62,1.63,2.19,10.0
2025-04-11,601702,1-共振金叉(精选),16.78,2.09,-1.67,-1.85,-5.0
2010-07-06,002164,0-点火启动(精选),6.31,0.79,6.66,6.02,10.0
2011-06-01,002164,2-极致缩量(精选),9.33,-5.0,-5.0,-5.0,-5.0
2017-05-26,002164,2-极致缩量(精选),9.57,2.93,10.0,10.0,10.0
2018-06-22,002164,0-点火启动(精选),5.55,1.8,3.42,4.14,-5.0
2021-07-06,002164,0-点火启动(精选),5.31,-0.94,-0.75,0.75,-5.0
2022-04-28,605166,1-共振金叉(精选),9.82,3.77,4.48,6.92,10.0
2017-01-20,002354,1-共振金叉(精选),21.96,1.73,0.5,-1.23,2.0
2018-09-05,002354,0-点火启动(精选),6.98,0.0,-3.72,1.43,-5.0
2021-03-02,600699,0-点火启动(精选),21.49,-0.79,-1.44,-5.0,-5.0
2021-05-12,600699,1-共振金叉(精选),15.68,-2.61,0.32,1.4,4.34
2021-02-10,002792,0-点火启动(精选),11.28,4.26,10.0,10.0,10.0
2022-04-29,002792,0-点火启动(精选),8.12,1.97,4.19,3.94,6.9
2010-05-24,600854,1-共振金叉(精选),5.41,-2.4,0.92,-4.07,-5.0
2017-01-23,603012,0-点火启动(精选),9.18,-1.63,0.0,1.2,2.72
2020-12-31,603687,2-极致缩量(精选),8.89,1.57,3.6,-5.0,-5.0
2022-12-23,603687,2-极致缩量(精选),8.64,0.12,-1.5,-2.31,0.35
2024-08-21,603687,0-点火启动(精选),5.82,-1.72,-1.37,-1.89,1.72
2017-12-29,000783,2-极致缩量(精选),6.71,0.6,1.79,2.68,-1.64
2022-09-20,002895,0-点火启动(精选),22.04,-0.45,-2.68,-5.0,-5.0
2008-08-15,601898,2-极致缩量(精选),7.67,-5.0,-5.0,-5.0,-5.0
2010-07-06,601898,0-点火启动(精选),5.17,3.29,10.0,10.0,10.0
2017-07-21,002223,2-极致缩量(精选),15.29,-1.64,-3.66,-2.09,-0.07
2018-08-09,002223,0-点火启动(精选),14.1,1.7,5.74,2.48,5.04
2022-03-11,603195,1-共振金叉(精选),40.51,-1.18,-5.0,-5.0,-5.0
2022-05-05,603829,2-极致缩量(精选),8.49,0.71,3.3,4.71,8.6
2004-06-17,600272,0-点火启动(精选),5.67,4.76,4.23,1.23,-5.0
2010-07-06,600272,0-点火启动(精选),6.64,0.75,5.57,5.12,10.0
2017-01-20,600272,2-极致缩量(精选),17.08,2.05,2.93,5.68,10.0
2020-02-07,603167,1-共振金叉(精选),5.97,2.51,3.35,1.01,8.38
2020-02-10,603167,0-点火启动(精选),6.12,0.0,-1.47,2.12,2.45
2008-08-29,600117,0-点火启动(精选),6.45,-3.72,-5.0,-5.0,-5.0
2010-01-29,600117,0-点火启动(精选),9.2,0.76,4.67,0.87,2.83
2010-07-06,600117,0-点火启动(精选),6.01,2.16,6.49,10.0,10.0
2011-12-19,600117,0-点火启动(精选),6.84,-0.44,-5.0,-5.0,-5.0
2011-12-20,600117,2-极致缩量(精选),6.81,-3.67,-5.0,-5.0,-5.0
2001-02-13,000938,0-点火启动(精选),13.62,0.07,0.81,1.17,2.13
2001-08-09,000938,2-极致缩量(精选),9.02,3.66,0.44,-0.44,-0.44
2014-04-03,000938,0-点火启动(精选),7.95,0.38,4.91,4.4,8.18
2020-10-09,000938,0-点火启动(精选),25.48,4.04,1.37,-1.22,-5.0
2021-12-22,000938,2-极致缩量(精选),21.27,-0.38,1.46,3.29,4.09
2021-12-23,000938,2-极致缩量(精选),21.19,0.47,2.17,10.0,10.0
2017-11-24,603979,1-共振金叉(精选),9.53,-1.47,-0.63,0.73,-5.0
2024-09-18,603979,1-共振金叉(精选),35.9,10.0,10.0,10.0,10.0
2008-06-16,000401,2-极致缩量(精选),9.39,-5.0,-5.0,-5.0,-5.0
2011-08-25,000401,0-点火启动(精选),17.03,1.06,-3.99,-3.41,-5.0
2012-06-29,000401,1-共振金叉(精选),11.41,-1.58,-1.31,-5.0,-5.0
2013-05-07,000401,0-点火启动(精选),8.76,0.46,-1.6,-4.45,-5.0
2001-08-10,000931,0-点火启动(精选),15.95,-0.25,-5.0,-5.0,-5.0
2002-01-18,000931,0-点火启动(精选),10.69,-3.74,-5.0,-5.0,-5.0
2003-11-04,000931,0-点火启动(精选),6.32,-3.48,-5.0,-5.0,-5.0
2011-12-20,000931,2-极致缩量(精选),5.21,-4.61,-5.0,-5.0,-5.0
2011-06-22,600754,0-点火启动(精选),11.1,1.89,6.04,3.69,10.0
2018-08-09,600754,1-共振金叉(精选),23.29,4.04,1.12,-5.0,-5.0
2018-06-25,600580,0-点火启动(精选),5.3,1.7,0.75,3.77,3.4
2018-01-22,603686,2-极致缩量(精选),14.9,-0.13,2.15,2.21,-5.0
2018-01-23,603686,2-极致缩量(精选),14.88,2.35,4.17,3.83,-5.0
2018-08-27,603686,0-点火启动(精选),12.45,-5.0,-5.0,-5.0,-5.0
2018-09-13,603686,2-极致缩量(精选),9.57,-2.4,-5.0,-5.0,-5.0
2017-01-20,002303,0-点火启动(精选),7.5,2.8,1.33,0.67,4.13
2017-05-17,002303,1-共振金叉(精选),6.33,-2.21,-5.0,-5.0,-5.0
2017-05-31,002303,0-点火启动(精选),5.66,-2.83,-5.0,-5.0,-5.0
2010-07-06,600196,0-点火启动(精选),6.36,3.93,10.0,10.0,10.0
2011-06-01,600196,0-点火启动(精选),6.23,-5.0,-5.0,-5.0,-5.0
2011-06-23,600196,0-点火启动(精选),5.41,3.88,10.0,10.0,10.0
2013-06-28,600196,2-极致缩量(精选),5.96,2.52,10.0,10.0,10.0
2021-02-10,603908,2-极致缩量(精选),10.78,3.53,10.0,10.0,10.0
2024-01-26,603908,1-共振金叉(精选),22.26,-3.95,-5.0,-5.0,-5.0
2017-01-20,002349,0-点火启动(精选),8.75,3.2,3.2,10.0,10.0
2018-06-26,002349,0-点火启动(精选),5.31,0.75,2.45,4.14,10.0
2014-06-26,000056,0-点火启动(精选),5.33,1.5,4.13,3.56,10.0
2021-02-09,603578,1-共振金叉(精选),9.61,3.33,5.41,2.71,6.45
2019-10-09,603486,1-共振金叉(精选),18.93,1.0,1.74,-2.38,10.0
2022-03-11,603486,0-点火启动(精选),114.26,-5.0,-5.0,-5.0,-5.0
2023-09-04,603486,0-点火启动(精选),53.45,0.15,-2.23,-3.12,-5.0
2023-09-05,603486,1-共振金叉(精选),53.53,-1.29,-3.66,-3.31,-5.0
2024-02-06,603486,0-点火启动(精选),29.99,5.74,10.0,10.0,10.0
2024-09-02,000683,0-点火启动(精选),5.43,1.66,-2.76,-5.0,-5.0
2016-01-19,002287,0-点火启动(精选),19.19,1.04,-5.0,-5.0,-5.0
2021-11-01,002287,2-极致缩量(精选),22.49,-2.49,0.84,2.71,5.87
2024-08-15,603661,0-点火启动(精选),30.79,-0.78,-1.56,-0.16,-5.0
2025-04-11,603661,2-极致缩量(精选),24.28,2.31,1.98,2.06,5.64
2018-02-08,002065,2-极致缩量(精选),7.1,-0.85,1.41,3.38,10.0
2020-09-29,002065,1-共振金叉(精选),10.07,-1.29,4.87,3.18,-0.5
2020-11-04,002065,2-极致缩量(精选),8.88,3.27,3.72,-0.11,-1.35
2021-02-10,603090,0-点火启动(精选),9.6,5.0,10.0,10.0,10.0
2023-03-22,603090,0-点火启动(精选),25.64,-1.83,-2.38,-5.0,-5.0
2024-07-23,603090,0-点火启动(精选),15.61,-2.63,3.14,0.77,-0.64
2017-05-16,601567,0-点火启动(精选),5.96,-0.67,-1.34,-5.0,-5.0
2017-05-17,601567,1-共振金叉(精选),5.92,0.51,-2.87,-5.0,-5.0
2023-04-12,002258,2-极致缩量(精选),14.7,-0.14,0.88,1.43,-5.0
2021-11-04,605158,0-点火启动(精选),6.54,-0.46,1.68,3.06,2.75
2022-04-29,605158,0-点火启动(精选),5.24,2.86,3.63,4.39,10.0
2023-02-08,603606,0-点火启动(精选),57.64,0.5,-1.82,-3.64,-5.0
2023-08-29,603606,1-共振金叉(精选),37.28,-2.58,-3.3,-1.93,-5.0
2017-11-29,002782,0-点火启动(精选),13.69,2.12,-1.83,-5.0,-5.0
2021-05-06,002782,1-共振金叉(精选),9.94,-1.61,-2.72,-0.8,4.02
2022-03-11,002782,0-点火启动(精选),11.06,-2.17,-5.0,-5.0,-5.0
2022-04-28,002782,0-点火启动(精选),8.43,6.64,3.68,7.83,10.0
2025-04-11,002782,2-极致缩量(精选),11.23,1.51,-1.42,0.09,4.9
2017-06-07,600963,0-点火启动(精选),5.03,3.38,-0.2,1.19,5.17
2024-01-24,600963,1-共振金叉(精选),5.27,3.8,0.95,-5.0,-5.0
2011-06-02,002368,0-点火启动(精选),5.59,0.89,0.18,-5.0,-5.0
2013-12-09,002368,0-点火启动(精选),13.82,-0.29,-2.82,-5.0,-5.0
2018-01-19,002368,0-点火启动(精选),14.79,1.62,3.38,3.79,-5.0
2021-02-10,002368,2-极致缩量(精选),20.72,2.9,4.2,5.12,6.66
2022-04-14,002368,2-极致缩量(精选),19.33,-1.03,0.52,-5.0,-5.0
2023-10-25,002368,0-点火启动(精选),27.25,-0.55,4.26,4.0,10.0
2025-01-09,002368,1-共振金叉(精选),21.45,-1.77,4.66,3.73,10.0
2014-05-06,000731,0-点火启动(精选),5.27,-1.71,-5.0,-5.0,-5.0
2018-02-12,002515,0-点火启动(精选),6.95,2.16,5.18,4.75,10.0
2022-05-05,603238,2-极致缩量(精选),8.84,-1.92,1.81,6.56,4.98
2010-05-21,600850,1-共振金叉(精选),6.1,10.0,10.0,10.0,10.0
2011-05-03,600850,0-点火启动(精选),8.99,-3.23,2.34,1.0,0.44
2012-11-15,600850,0-点火启动(精选),9.43,2.33,2.97,-1.7,-5.0
2012-12-05,600850,0-点火启动(精选),7.72,0.78,4.15,0.0,-5.0
2015-09-09,600850,0-点火启动(精选),18.82,10.0,10.0,-5.0,-5.0
2018-01-25,600850,0-点火启动(精选),11.48,0.09,-2.7,-5.0,-5.0
2022-05-05,002819,2-极致缩量(精选),20.8,10.0,10.0,10.0,10.0
2019-11-29,002129,2-极致缩量(精选),7.59,1.58,-0.79,6.46,10.0
2025-01-08,002129,0-点火启动(精选),8.59,-0.23,-5.0,-5.0,-5.0
2018-06-25,603022,2-极致缩量(精选),7.92,1.26,0.88,1.01,0.0
2018-06-26,603022,0-点火启动(精选),8.02,0.12,2.12,1.87,0.12
2022-04-28,603022,0-点火启动(精选),7.44,0.67,2.55,7.26,10.0
2023-10-24,001338,0-点火启动(精选),12.91,2.94,5.27,4.49,5.11
2020-09-17,603083,0-点火启动(精选),20.67,0.73,-0.97,-3.53,-5.0
2022-04-14,603083,0-点火启动(精选),11.45,-2.62,-5.0,-5.0,-5.0
2021-05-11,600918,0-点火启动(精选),10.17,-0.39,9.05,6.69,10.0
2021-05-12,600918,2-极致缩量(精选),10.13,-0.69,10.0,10.0,10.0
2022-05-05,600918,2-极致缩量(精选),7.02,-2.14,-0.57,-0.43,-0.85
2017-05-31,603861,0-点火启动(精选),17.7,-5.0,-5.0,-5.0,-5.0
2018-06-25,603861,2-极致缩量(精选),10.81,1.11,-0.74,-0.46,-5.0
2022-04-13,603861,2-极致缩量(精选),7.75,-0.13,-5.0,-5.0,-5.0
2022-02-07,003006,0-点火启动(精选),13.8,1.01,-0.72,-5.0,-5.0
2025-07-18,003006,0-点火启动(精选),25.0,1.12,6.0,10.0,10.0
2007-11-28,000960,1-共振金叉(精选),35.03,1.4,-3.91,7.34,10.0
2007-11-29,000960,0-点火启动(精选),35.52,-2.93,-5.0,-5.0,-5.0
2010-07-06,000960,0-点火启动(精选),12.63,0.24,5.3,1.66,10.0
2013-07-01,000960,2-极致缩量(精选),11.54,-0.78,2.08,-5.0,-5.0
2018-06-25,000960,0-点火启动(精选),11.23,0.27,-3.56,-1.6,-5.0
2018-06-26,000960,2-极致缩量(精选),11.26,-0.98,-0.27,0.09,-5.0
2024-07-29,000960,2-极致缩量(精选),13.28,-1.58,3.54,-1.2,2.26
2012-05-02,002073,0-点火启动(精选),11.84,3.97,7.09,3.04,-2.96
2012-06-11,002073,0-点火启动(精选),10.45,-1.15,-0.67,0.77,-5.0
2023-05-11,002073,1-共振金叉(精选),5.7,-2.28,-2.11,0.35,1.58
2024-07-29,002073,0-点火启动(精选),6.41,-1.25,4.84,-0.47,-0.31
2018-06-26,002743,2-极致缩量(精选),6.66,-1.35,0.3,0.75,-5.0
2023-01-04,600246,2-极致缩量(精选),6.52,-0.46,2.45,-1.23,0.46
2014-05-06,002393,0-点火启动(精选),18.08,-0.72,-2.82,-1.16,-5.0
2014-05-07,002393,2-极致缩量(精选),17.95,-1.17,0.45,-0.17,-5.0
2018-06-25,002393,1-共振金叉(精选),15.37,1.56,-0.33,0.65,1.43
2014-05-06,002476,1-共振金叉(精选),7.62,-2.62,-5.0,-5.0,-5.0
2017-11-29,002476,2-极致缩量(精选),6.0,-1.17,-1.5,-5.0,-5.0
2015-01-16,002552,0-点火启动(精选),8.42,-2.61,2.97,2.73,4.87
2021-02-10,002552,0-点火启动(精选),10.45,3.16,10.0,10.0,10.0
2024-07-30,002552,2-极致缩量(精选),10.74,3.17,3.82,1.4,-0.09
2021-02-09,603286,1-共振金叉(精选),12.37,0.97,5.82,6.63,10.0
2017-01-20,002436,0-点火启动(精选),5.63,3.37,1.78,1.95,10.0
2020-09-15,002436,2-极致缩量(精选),10.96,-2.01,1.55,-0.55,-5.0
2021-02-10,002436,2-极致缩量(精选),7.97,4.14,7.53,8.03,10.0
2018-02-12,000560,1-共振金叉(精选),5.65,-0.35,3.89,8.5,10.0
2018-02-13,000560,2-极致缩量(精选),5.63,1.07,4.8,10.0,10.0
2022-04-28,002648,2-极致缩量(精选),16.18,5.32,3.28,-3.52,7.23
2023-04-28,002648,0-点火启动(精选),13.29,1.66,0.3,-1.73,-5.0
2022-04-29,603797,1-共振金叉(精选),5.13,3.7,8.38,10.0,10.0
2021-01-18,603689,2-极致缩量(精选),5.96,0.34,0.17,-5.0,-5.0
2018-06-27,002438,2-极致缩量(精选),5.22,-0.57,3.07,10.0,10.0
2024-02-06,002438,0-点火启动(精选),8.59,-1.75,10.0,10.0,10.0
2021-08-02,002853,0-点火启动(精选),17.89,0.89,-3.8,-5.0,-5.0
2003-11-04,600841,1-共振金叉(精选),5.04,2.18,-5.0,-5.0,-5.0
2010-05-21,600841,1-共振金叉(精选),8.5,3.18,1.53,5.65,1.65
2010-07-06,600841,0-点火启动(精选),7.52,-0.27,3.59,10.0,10.0
2011-12-20,600841,0-点火启动(精选),7.16,-2.51,-5.0,-5.0,-5.0
2018-06-25,600841,0-点火启动(精选),9.01,0.44,-2.33,-1.33,-5.0
2022-10-12,600841,0-点火启动(精选),6.23,2.73,4.17,2.57,3.21
2024-01-24,600841,1-共振金叉(精选),5.14,5.06,10.0,-5.0,-5.0
2023-10-26,002268,2-极致缩量(精选),21.28,1.32,3.01,1.17,10.0
2014-07-16,002353,0-点火启动(精选),31.11,2.22,-1.74,-2.99,-5.0
2017-05-02,002353,1-共振金叉(精选),14.48,-0.41,-5.0,-5.0,-5.0
2017-07-21,002103,2-极致缩量(精选),11.59,-2.16,-5.0,-5.0,-5.0
2021-08-02,601838,0-点火启动(精选),7.8,-1.41,-5.0,-5.0,-5.0
2021-05-21,603709,1-共振金叉(精选),11.02,-1.18,1.91,3.18,1.45
2011-01-27,002007,0-点火启动(精选),10.19,1.86,0.69,10.0,10.0
2017-07-21,002007,2-极致缩量(精选),12.07,-1.33,-1.08,0.0,-0.33
2020-11-09,002007,0-点火启动(精选),44.47,-2.77,-5.0,-5.0,-5.0
2021-09-03,002007,2-极致缩量(精选),28.21,2.2,0.39,-1.1,-5.0
2021-07-12,603477,0-点火启动(精选),10.83,-0.74,-0.92,-5.0,-5.0
2024-06-28,603477,2-极致缩量(精选),28.53,3.75,-4.42,-5.0,-5.0
2024-08-26,603477,0-点火启动(精选),17.41,-2.47,-0.63,0.0,-1.84
2011-12-20,002173,0-点火启动(精选),9.15,-3.72,-5.0,-5.0,-5.0
2019-11-18,002173,0-点火启动(精选),5.33,1.69,2.25,2.25,-0.38
2022-04-29,002862,0-点火启动(精选),6.92,5.35,4.62,4.19,10.0
2021-11-11,002064,1-共振金叉(精选),9.75,-0.51,-2.67,-0.1,1.74
2025-04-11,002064,2-极致缩量(精选),6.6,1.36,-0.91,-0.45,-0.76
2025-04-14,002064,2-极致缩量(精选),6.69,-0.45,-2.84,-2.54,-2.69
2016-12-16,002688,0-点火启动(精选),8.65,-0.69,5.43,1.85,4.28
2016-12-19,002688,2-极致缩量(精选),8.59,0.47,4.07,6.4,6.05
2008-04-23,000534,1-共振金叉(精选),6.32,10.0,10.0,10.0,10.0
2021-10-27,000534,0-点火启动(精选),12.76,1.33,0.86,1.02,10.0
2007-10-18,600376,1-共振金叉(精选),13.93,2.73,-5.0,-5.0,-5.0
2007-12-03,600376,1-共振金叉(精选),11.3,6.73,10.0,10.0,-5.0
2020-02-07,600376,2-极致缩量(精选),5.74,1.39,2.79,4.7,5.57
2016-09-19,603589,2-极致缩量(精选),20.1,-0.85,-0.3,-4.23,-5.0
2016-09-20,603589,2-极致缩量(精选),19.93,-0.4,-2.71,-2.61,-5.0
2020-03-20,603589,1-共振金叉(精选),29.5,-5.0,-5.0,-5.0,-5.0
2022-03-21,603589,0-点火启动(精选),52.08,0.4,-2.28,-5.0,-5.0
2022-03-22,603589,2-极致缩量(精选),52.29,0.19,-5.0,-5.0,-5.0
2023-10-25,603589,0-点火启动(精选),44.37,1.19,6.36,10.0,10.0
2017-11-24,600988,2-极致缩量(精选),5.35,-0.75,2.06,-0.56,-5.0
2011-01-27,600338,0-点火启动(精选),7.55,0.66,3.97,3.18,5.7
2011-10-12,600338,1-共振金叉(精选),6.0,-5.0,-5.0,-5.0,-5.0
2018-03-29,600338,0-点火启动(精选),22.18,0.45,-2.43,-2.25,-3.97
2018-03-30,600338,0-点火启动(精选),22.28,-0.67,-1.62,-0.54,-5.0
2023-07-17,003000,2-极致缩量(精选),10.77,-1.58,-3.44,-3.81,1.21
2011-12-20,002237,1-共振金叉(精选),7.02,0.0,-5.0,-5.0,-5.0
2012-09-03,002237,0-点火启动(精选),7.35,-2.18,2.99,10.0,10.0
2013-04-19,002237,0-点火启动(精选),8.31,1.08,-0.72,0.36,-0.72
2013-07-01,002237,0-点火启动(精选),6.33,1.26,6.16,10.0,10.0
2018-09-26,002723,0-点火启动(精选),7.43,-5.0,-5.0,-5.0,-5.0
2020-02-07,002723,0-点火启动(精选),5.87,1.36,3.58,1.53,10.0
2020-05-08,002813,1-共振金叉(精选),19.6,7.7,1.53,0.51,10.0
2024-12-27,002813,1-共振金叉(精选),23.12,-2.25,-5.0,-5.0,-5.0
2008-10-23,600054,0-点火启动(精选),6.35,3.15,-5.0,-5.0,-5.0
