等级,代码,名称,现价,量比,历史胜率,周线RSI,距60日线,今日涨跌
S-周线底启动,600771,广誉远,18.09,2.04,23.3%,29.4,2.7%,0.3%
B-普通超跌,600714,金瑞矿业,15.56,1.25,58.3%,47.4,-15.1%,5.0%
