级别,名称,代码,现价,目标位,空间,止损位,RSI6,历史胜率,说明
LV3,海南机场,600515,3.68,4.5,22.2%,3.45,24.4,54%,技术超跌
LV2,利群股份,601366,4.18,4.9,17.3%,3.88,30.1,51%,深度调整
LV2,步步高,002251,4.34,5.05,16.4%,4.06,31.1,51%,深度调整
LV1,中百集团,000759,5.68,7.14,25.7%,5.22,36.2,49%,常规回撤
LV1,海南海药,000566,5.35,6.49,21.4%,4.99,38.7,49%,常规回撤
LV1,海南瑞泽,002596,3.87,4.59,18.6%,3.57,38.1,49%,常规回撤
LV1,合兴包装,002228,3.9,4.56,16.8%,3.61,36.8,49%,常规回撤
LV1,交建股份,603815,6.14,7.16,16.6%,5.67,36.9,49%,常规回撤
LV1,国机重装,601399,4.52,5.19,14.8%,4.23,36.5,49%,常规回撤
LV1,有友食品,603697,10.82,12.36,14.3%,10.11,37.1,49%,常规回撤
LV1,茂业商业,600828,5.61,6.41,14.2%,5.27,28.6,49%,常规回撤
LV1,安通控股,600179,4.37,4.98,14.0%,4.07,38.0,49%,常规回撤
LV1,宝莫股份,002476,5.82,6.62,13.8%,5.35,37.2,49%,常规回撤
LV1,北京文化,000802,3.98,4.51,13.4%,3.69,34.6,49%,常规回撤
LV1,益民集团,600824,4.02,4.55,13.1%,3.74,30.9,49%,常规回撤
LV1,华阳新材,600281,5.4,6.08,12.7%,4.85,36.2,49%,常规回撤
LV1,上实发展,600748,4.86,5.47,12.6%,4.56,34.7,49%,常规回撤
LV1,天沃科技,002564,6.61,7.44,12.5%,6.19,34.9,49%,常规回撤
LV1,大连重工,002204,6.58,7.36,11.8%,6.12,31.5,49%,常规回撤
LV1,海南高速,000886,5.84,6.49,11.2%,5.44,32.6,49%,常规回撤
LV1,陕西金叶,000812,4.08,4.53,11.1%,3.7,39.8,49%,常规回撤
LV1,格林美,002340,7.96,8.82,10.8%,7.37,33.3,49%,常规回撤
LV1,海德股份,000567,5.34,5.92,10.8%,4.98,37.5,49%,常规回撤
LV1,富奥股份,000030,4.95,5.46,10.3%,4.61,31.3,49%,常规回撤
LV1,贵州轮胎,000589,4.56,5.02,10.2%,4.27,26.0,49%,常规回撤
LV1,三湘印象,000863,5.33,5.87,10.2%,5.03,32.9,49%,常规回撤
LV1,英利汽车,601279,4.24,4.67,10.1%,3.91,35.1,49%,常规回撤
LV1,红旗连锁,002697,5.42,5.96,10.0%,5.07,35.3,49%,常规回撤
