级别,名称,代码,现价,目标位,空间,止损位,RSI6,历史胜率,说明
LV3,美年健康,002044,5.36,6.48,20.9%,5.17,26.3,54%,技术超跌
LV2,白银有色,601212,8.04,9.41,17.1%,7.69,19.5,51%,深度调整
LV2,天顺股份,002800,16.91,19.76,16.9%,16.03,18.0,51%,深度调整
LV1,金新农,002548,5.16,6.16,19.4%,4.9,35.2,49%,常规回撤
LV1,交大昂立,600530,5.23,5.96,13.9%,5.0,25.6,49%,常规回撤
LV1,岭南控股,000524,10.8,12.29,13.8%,10.29,23.5,49%,常规回撤
LV1,湘电股份,600416,12.38,14.07,13.6%,11.95,30.1,49%,常规回撤
LV1,湖南白银,002716,12.05,13.68,13.5%,11.51,29.2,49%,常规回撤
LV1,四维图新,002405,9.14,10.29,12.5%,8.76,37.0,49%,常规回撤
LV1,华尔泰,001217,11.62,13.02,12.1%,11.06,29.8,49%,常规回撤
LV1,东珠生态,603359,5.87,6.58,12.1%,5.61,36.8,49%,常规回撤
LV1,上海九百,600838,10.13,11.3,11.6%,9.68,37.7,49%,常规回撤
LV1,嘉诚国际,603535,8.42,9.34,10.9%,8.12,34.4,49%,常规回撤
LV1,抚顺特钢,600399,5.89,6.53,10.8%,5.71,35.7,49%,常规回撤
LV1,广博股份,002103,8.26,9.14,10.7%,7.9,27.8,49%,常规回撤
LV1,鲁信创投,600783,20.8,22.94,10.3%,20.12,36.7,49%,常规回撤
