级别,名称,代码,现价,目标位,空间,止损位,RSI6,历史胜率,说明
LV3,厦门象屿,600057,5.97,7.29,22.0%,5.67,22.8,54%,技术超跌
LV2,京新药业,002020,12.6,14.8,17.5%,11.86,31.2,51%,深度调整
LV2,四维图新,002405,7.91,9.28,17.3%,7.5,28.3,51%,深度调整
LV2,岭南控股,000524,9.08,10.46,15.2%,8.69,34.9,51%,深度调整
LV1,燕塘乳业,002732,14.06,15.88,13.0%,13.54,32.1,49%,常规回撤
LV1,中通客车,000957,10.07,11.3,12.2%,9.5,34.2,49%,常规回撤
LV1,伟星新材,002372,9.38,10.49,11.8%,8.99,17.5,49%,常规回撤
LV1,湖北广电,000665,4.27,4.76,11.6%,4.03,33.3,49%,常规回撤
LV1,塔牌集团,002233,8.12,8.96,10.3%,7.71,31.8,49%,常规回撤
