级别,名称,代码,现价,目标位,空间,止损位,RSI6,历史胜率,说明
LV3,百川股份,002455,6.49,8.85,36.4%,6.0,29.8,54%,技术超跌
LV3,北方国际,000065,8.78,11.73,33.6%,8.28,26.4,54%,技术超跌
LV3,千里科技,601777,7.61,10.06,32.1%,7.2,28.1,54%,技术超跌
LV3,凯众股份,603037,9.65,12.65,31.1%,9.06,29.2,54%,技术超跌
LV3,福达股份,603166,10.83,13.61,25.6%,9.92,27.9,54%,技术超跌
LV3,聚合顺,605166,8.33,10.43,25.3%,7.8,27.7,54%,技术超跌
LV3,亚太股份,002284,9.28,11.59,24.9%,8.63,29.3,54%,技术超跌
LV3,三维股份,603033,8.27,10.21,23.5%,7.87,13.5,54%,技术超跌
LV3,亚星化学,600319,5.91,7.21,21.9%,5.51,24.6,54%,技术超跌
LV2,科力远,600478,4.68,6.16,31.7%,4.41,30.2,51%,深度调整
LV2,英联股份,002846,9.96,12.93,29.9%,9.13,34.6,51%,深度调整
LV2,华软科技,002453,4.08,5.3,29.8%,3.77,32.9,51%,深度调整
LV2,川能动力,000155,11.09,14.28,28.7%,10.52,31.4,51%,深度调整
LV2,湘潭电化,002125,11.77,14.94,26.9%,10.77,34.8,51%,深度调整
LV2,中远海能,600026,15.83,19.72,24.5%,14.38,34.6,51%,深度调整
LV2,九牧王,601566,8.26,10.25,24.1%,7.89,31.8,51%,深度调整
LV2,南华期货,603093,17.05,20.31,19.1%,16.11,31.7,51%,深度调整
LV2,爱柯迪,600933,13.72,16.15,17.7%,12.92,31.5,51%,深度调整
LV2,中广核技,000881,6.17,7.25,17.5%,5.9,15.7,51%,深度调整
LV2,甘肃能源,000791,7.35,8.59,16.9%,6.9,32.5,51%,深度调整
LV2,海天股份,603759,6.96,8.12,16.7%,6.57,30.7,51%,深度调整
LV1,越剑智能,603095,13.02,18.61,42.9%,12.1,37.9,49%,常规回撤
LV1,安迪苏,600299,7.89,10.79,36.8%,7.62,36.2,49%,常规回撤
LV1,红 宝 丽,002165,5.66,7.59,34.1%,5.29,38.1,49%,常规回撤
LV1,兰石重装,603169,6.1,7.9,29.5%,5.74,40.0,49%,常规回撤
LV1,亚世光电,002952,19.67,25.15,27.9%,18.17,37.7,49%,常规回撤
LV1,中成股份,000151,9.28,11.83,27.5%,8.75,40.0,49%,常规回撤
LV1,金鹰股份,600232,5.92,7.51,26.8%,5.52,37.7,49%,常规回撤
LV1,双象股份,002395,12.17,15.41,26.6%,11.43,38.0,49%,常规回撤
LV1,鹏欣资源,600490,5.88,7.41,26.0%,5.4,37.4,49%,常规回撤
LV1,长缆科技,002879,12.87,16.2,25.9%,12.01,37.0,49%,常规回撤
LV1,联合水务,603291,8.1,10.18,25.7%,7.64,39.0,49%,常规回撤
LV1,山河智能,002097,6.95,8.64,24.3%,6.56,37.4,49%,常规回撤
LV1,金奥博,002917,10.05,12.43,23.7%,9.38,35.5,49%,常规回撤
LV1,建投能源,000600,8.0,9.85,23.1%,7.51,35.5,49%,常规回撤
LV1,东方雨虹,002271,11.04,13.49,22.2%,10.28,37.0,49%,常规回撤
LV1,国检集团,603060,5.43,6.58,21.2%,5.12,38.1,49%,常规回撤
LV1,中国宝安,000009,6.13,7.43,21.1%,5.85,38.2,49%,常规回撤
LV1,大丰实业,603081,8.64,10.45,20.9%,8.18,39.2,49%,常规回撤
LV1,英 力 特,000635,6.0,7.14,19.0%,5.6,39.7,49%,常规回撤
LV1,西大门,605155,12.33,14.61,18.5%,11.44,36.9,49%,常规回撤
LV1,金杯电工,002533,10.4,12.28,18.1%,9.84,37.8,49%,常规回撤
LV1,东港股份,002117,7.88,9.23,17.1%,7.4,40.0,49%,常规回撤
LV1,大亚圣象,000910,5.32,6.17,15.9%,5.01,38.9,49%,常规回撤
LV1,迎丰股份,605055,10.13,11.7,15.5%,9.37,35.4,49%,常规回撤
LV1,东贝集团,601956,4.67,5.33,14.1%,4.38,39.3,49%,常规回撤
LV1,保龄宝,002286,8.09,9.21,13.8%,7.6,36.4,49%,常规回撤
LV1,金智科技,002090,8.92,10.15,13.8%,8.26,39.1,49%,常规回撤
LV1,兔 宝 宝,002043,11.39,12.93,13.6%,10.64,39.4,49%,常规回撤
LV1,交大昂立,600530,5.32,6.04,13.5%,4.94,37.0,49%,常规回撤
LV1,中国东航,600115,3.62,4.11,13.5%,3.4,32.4,49%,常规回撤
LV1,西上海,605151,18.07,20.39,12.9%,16.96,37.7,49%,常规回撤
LV1,赞宇科技,002637,10.41,11.72,12.6%,9.62,36.5,49%,常规回撤
LV1,盾安环境,002011,10.22,11.48,12.4%,9.7,33.8,49%,常规回撤
LV1,湖北宜化,000422,12.97,14.54,12.1%,12.21,34.4,49%,常规回撤
LV1,华谊集团,600623,8.11,9.05,11.6%,7.81,34.2,49%,常规回撤
LV1,徐工机械,000425,8.39,9.35,11.4%,7.8,32.1,49%,常规回撤
LV1,确成股份,605183,14.38,16.01,11.3%,13.43,32.3,49%,常规回撤
LV1,芭田股份,002170,10.84,12.06,11.2%,10.21,37.0,49%,常规回撤
LV1,派斯林,600215,5.86,6.48,10.6%,5.43,21.3,49%,常规回撤
