级别,名称,代码,现价,目标位,空间,止损位,RSI6,历史胜率,说明
LV3,海欣食品,002702,6.15,7.52,22.2%,5.92,20.3,54%,技术超跌
LV3,海南海药,000566,5.74,6.94,20.9%,5.5,27.0,54%,技术超跌
LV3,海马汽车,000572,6.43,7.73,20.2%,6.15,23.9,54%,技术超跌
LV2,海南瑞泽,002596,4.11,4.98,21.1%,3.98,34.1,51%,深度调整
LV2,凯撒旅业,000796,5.41,6.46,19.5%,5.2,24.7,51%,深度调整
LV2,贵广网络,600996,8.13,9.7,19.3%,7.7,28.6,51%,深度调整
LV2,湘邮科技,600476,13.09,15.39,17.6%,12.38,33.1,51%,深度调整
LV2,交建股份,603815,6.66,7.83,17.5%,6.46,25.3,51%,深度调整
LV2,双鹭药业,002038,6.2,7.28,17.4%,5.99,29.7,51%,深度调整
LV2,珍宝岛,603567,7.66,8.96,17.0%,7.31,26.9,51%,深度调整
LV1,宝馨科技,002514,5.05,5.88,16.3%,4.82,37.3,49%,常规回撤
LV1,欢瑞世纪,000892,6.62,7.58,14.6%,6.31,23.5,49%,常规回撤
LV1,广百股份,002187,6.9,7.85,13.8%,6.61,31.6,49%,常规回撤
LV1,华联控股,000036,5.16,5.86,13.6%,4.91,23.8,49%,常规回撤
LV1,徕木股份,603633,8.57,9.71,13.3%,8.16,28.2,49%,常规回撤
LV1,欣贺股份,003016,8.41,9.47,12.6%,8.13,23.8,49%,常规回撤
LV1,多伦科技,603528,8.91,10.02,12.5%,8.52,20.5,49%,常规回撤
LV1,长鸿高科,605008,12.65,14.22,12.4%,12.19,37.2,49%,常规回撤
LV1,惠发食品,603536,10.21,11.48,12.4%,9.77,27.5,49%,常规回撤
LV1,北京文化,000802,4.21,4.71,11.9%,4.07,22.7,49%,常规回撤
LV1,上实发展,600748,4.98,5.57,11.9%,4.81,28.8,49%,常规回撤
LV1,榕基软件,002474,8.62,9.59,11.3%,8.0,39.0,49%,常规回撤
LV1,三木集团,000632,5.08,5.63,10.9%,4.83,39.3,49%,常规回撤
LV1,欣龙控股,000955,5.42,5.99,10.6%,5.19,22.2,49%,常规回撤
LV1,爱建集团,600643,4.67,5.17,10.6%,4.5,28.8,49%,常规回撤
LV1,丽人丽妆,605136,10.52,11.62,10.5%,10.0,26.8,49%,常规回撤
LV1,昇兴股份,002752,6.33,6.99,10.4%,6.11,24.7,49%,常规回撤
LV1,爱仕达,002403,11.25,12.4,10.2%,10.84,32.1,49%,常规回撤
LV1,均瑶健康,605388,6.67,7.34,10.0%,6.34,28.8,49%,常规回撤
LV1,利群股份,601366,4.54,5.0,10.0%,4.37,23.9,49%,常规回撤
