级别,名称,代码,现价,目标位,空间,止损位,RSI6,历史胜率,说明
LV3,海南机场,600515,3.68,4.5,22.2%,3.45,24.4,54%,技术超跌
LV2,宏润建设,002062,7.36,9.18,24.7%,6.96,33.9,51%,深度调整
LV2,合众思壮,002383,9.55,11.68,22.3%,9.11,34.4,51%,深度调整
LV2,泰尔股份,002347,8.22,9.98,21.5%,7.79,33.9,51%,深度调整
LV2,顺威股份,002676,6.52,7.87,20.7%,6.29,30.3,51%,深度调整
LV2,多伦科技,603528,8.06,9.67,20.0%,7.72,32.9,51%,深度调整
LV2,三维通信,002115,11.9,14.17,19.1%,11.32,31.5,51%,深度调整
LV2,海格通信,002465,14.72,17.4,18.2%,13.97,33.2,51%,深度调整
LV2,佳都科技,600728,5.62,6.6,17.5%,5.38,22.7,51%,深度调整
LV2,利群股份,601366,4.18,4.9,17.3%,3.88,30.1,51%,深度调整
LV2,中航重机,600765,16.37,19.15,17.0%,15.66,31.8,51%,深度调整
LV2,秦川机床,000837,10.57,12.35,16.8%,10.1,25.7,51%,深度调整
LV2,步步高,002251,4.34,5.05,16.4%,4.06,31.1,51%,深度调整
LV2,金种子酒,600199,8.11,9.4,16.0%,7.77,27.6,51%,深度调整
LV1,中百集团,000759,5.68,7.14,25.7%,5.22,36.2,49%,常规回撤
LV1,航天机电,600151,13.03,15.84,21.6%,12.45,36.2,49%,常规回撤
LV1,海南海药,000566,5.35,6.49,21.4%,4.99,38.7,49%,常规回撤
LV1,新 华 都,002264,8.24,9.91,20.2%,7.88,38.7,49%,常规回撤
LV1,烽火电子,000561,9.58,11.49,20.0%,9.11,35.6,49%,常规回撤
LV1,楚江新材,002171,10.96,13.04,19.0%,10.38,39.5,49%,常规回撤
LV1,海南瑞泽,002596,3.87,4.59,18.6%,3.57,38.1,49%,常规回撤
LV1,普利特,002324,14.88,17.65,18.6%,14.09,37.5,49%,常规回撤
LV1,榕基软件,002474,7.7,9.05,17.5%,7.27,36.0,49%,常规回撤
LV1,万马股份,002276,14.12,16.58,17.5%,13.48,36.8,49%,常规回撤
LV1,凌云股份,600480,9.84,11.52,17.1%,9.45,39.6,49%,常规回撤
LV1,中科三环,000970,11.73,13.73,17.0%,11.02,37.9,49%,常规回撤
LV1,西藏天路,600326,9.29,10.86,16.9%,8.77,36.2,49%,常规回撤
LV1,山河智能,002097,9.94,11.61,16.8%,9.49,36.6,49%,常规回撤
LV1,鲁信创投,600783,20.67,24.12,16.7%,19.37,37.4,49%,常规回撤
LV1,大唐电信,600198,8.22,9.58,16.6%,7.79,39.1,49%,常规回撤
LV1,今创集团,603680,12.89,15.0,16.4%,12.42,39.5,49%,常规回撤
LV1,秦安股份,603758,13.08,15.23,16.4%,12.55,39.9,49%,常规回撤
LV1,中信重工,601608,6.14,7.13,16.1%,5.91,37.3,49%,常规回撤
LV1,青岛金王,002094,6.58,7.6,15.5%,6.15,38.3,49%,常规回撤
LV1,康达新材,002669,12.58,14.49,15.2%,11.87,38.0,49%,常规回撤
LV1,贝瑞基因,000710,10.41,11.98,15.0%,9.76,37.9,49%,常规回撤
LV1,国机重装,601399,4.52,5.19,14.8%,4.23,36.5,49%,常规回撤
LV1,太钢不锈,000825,4.39,5.04,14.8%,4.19,38.7,49%,常规回撤
LV1,中航机载,600372,12.96,14.88,14.8%,12.4,35.4,49%,常规回撤
LV1,皖通科技,002331,7.99,9.17,14.7%,7.62,31.7,49%,常规回撤
LV1,盛路通信,002446,9.71,11.14,14.7%,9.13,38.1,49%,常规回撤
LV1,锦龙股份,000712,10.47,12.01,14.7%,10.04,35.4,49%,常规回撤
LV1,湘财股份,600095,9.4,10.78,14.7%,8.94,33.8,49%,常规回撤
LV1,同庆楼,605108,16.5,18.92,14.7%,15.72,38.6,49%,常规回撤
LV1,万向钱潮,000559,15.43,17.63,14.3%,14.81,37.9,49%,常规回撤
LV1,有友食品,603697,10.82,12.36,14.3%,10.11,37.1,49%,常规回撤
LV1,ST证通,002197,8.11,9.27,14.3%,7.71,37.5,49%,常规回撤
LV1,北纬科技,002148,7.45,8.52,14.3%,7.07,34.8,49%,常规回撤
LV1,恒基达鑫,002492,7.43,8.49,14.2%,7.16,32.8,49%,常规回撤
LV1,茂业商业,600828,5.61,6.41,14.2%,5.27,28.6,49%,常规回撤
LV1,浙文互联,600986,9.71,11.03,13.6%,9.18,29.7,49%,常规回撤
LV1,北京文化,000802,3.98,4.51,13.4%,3.69,34.6,49%,常规回撤
LV1,大洋电机,002249,9.29,10.53,13.4%,8.91,35.1,49%,常规回撤
LV1,上海临港,600848,10.0,11.32,13.2%,9.63,39.3,49%,常规回撤
LV1,泰和新材,002254,10.67,12.08,13.2%,10.12,31.5,49%,常规回撤
LV1,海得控制,002184,11.44,12.96,13.2%,10.89,36.3,49%,常规回撤
LV1,楚天龙,003040,16.23,18.35,13.1%,15.44,38.9,49%,常规回撤
LV1,爱仕达,002403,10.63,12.01,13.0%,10.15,35.4,49%,常规回撤
LV1,神开股份,002278,11.72,13.24,13.0%,10.9,34.5,49%,常规回撤
LV1,重庆路桥,600106,5.48,6.19,12.9%,5.25,39.0,49%,常规回撤
LV1,露笑科技,002617,7.62,8.6,12.8%,7.29,34.7,49%,常规回撤
LV1,华阳新材,600281,5.4,6.08,12.7%,4.85,36.2,49%,常规回撤
LV1,益民集团,600824,4.01,4.52,12.7%,3.85,39.1,49%,常规回撤
LV1,骏亚科技,603386,13.21,14.88,12.6%,12.5,36.2,49%,常规回撤
LV1,华软科技,002453,5.47,6.16,12.6%,5.12,33.0,49%,常规回撤
LV1,海陆重工,002255,11.29,12.71,12.5%,10.58,35.5,49%,常规回撤
LV1,新黄浦,600638,6.03,6.77,12.3%,5.69,35.9,49%,常规回撤
LV1,纵横通信,603602,13.08,14.68,12.2%,12.45,36.6,49%,常规回撤
LV1,全柴动力,600218,9.48,10.63,12.1%,9.06,34.4,49%,常规回撤
LV1,大西洋,600558,5.56,6.22,11.8%,5.32,35.1,49%,常规回撤
LV1,东北证券,000686,8.05,9.0,11.8%,7.77,31.3,49%,常规回撤
LV1,信隆健康,002105,6.46,7.22,11.8%,6.11,39.2,49%,常规回撤
LV1,新澳股份,603889,7.7,8.6,11.7%,7.42,38.9,49%,常规回撤
LV1,雷科防务,002413,12.73,14.22,11.7%,12.03,32.4,49%,常规回撤
LV1,盛航股份,001205,14.43,16.12,11.7%,13.84,38.4,49%,常规回撤
LV1,华阳国际,002949,13.66,15.24,11.6%,13.06,38.6,49%,常规回撤
LV1,先达股份,603086,7.45,8.32,11.6%,6.97,38.1,49%,常规回撤
LV1,银都股份,603277,14.44,16.1,11.5%,13.91,31.0,49%,常规回撤
LV1,光洋股份,002708,11.93,13.29,11.4%,11.24,37.1,49%,常规回撤
LV1,海南高速,000886,5.84,6.49,11.2%,5.44,32.6,49%,常规回撤
LV1,深 赛 格,000058,8.15,9.05,11.1%,7.81,39.7,49%,常规回撤
LV1,抚顺特钢,600399,5.93,6.59,11.1%,5.64,33.3,49%,常规回撤
LV1,分众传媒,002027,6.45,7.16,10.9%,6.22,25.4,49%,常规回撤
LV1,格林美,002340,7.96,8.82,10.8%,7.37,33.3,49%,常规回撤
LV1,海德股份,000567,5.34,5.92,10.8%,4.98,37.5,49%,常规回撤
LV1,齐心集团,002301,6.92,7.66,10.7%,6.56,39.6,49%,常规回撤
LV1,千里科技,601777,9.75,10.78,10.6%,9.11,38.1,49%,常规回撤
LV1,天成自控,603085,10.51,11.61,10.5%,10.09,30.7,49%,常规回撤
LV1,爱柯迪,600933,16.93,18.68,10.4%,16.21,38.3,49%,常规回撤
LV1,海联金汇,002537,7.99,8.82,10.4%,7.47,38.3,49%,常规回撤
LV1,传化智联,002010,5.76,6.36,10.4%,5.53,36.6,49%,常规回撤
LV1,百合花,603823,15.46,17.03,10.2%,14.96,36.2,49%,常规回撤
LV1,赛福天,603028,8.61,9.48,10.2%,8.14,39.3,49%,常规回撤
LV1,三湘印象,000863,5.33,5.87,10.2%,5.03,32.9,49%,常规回撤
LV1,大众公用,600635,5.86,6.45,10.1%,5.58,20.8,49%,常规回撤
LV1,英利汽车,601279,4.24,4.67,10.1%,3.91,35.1,49%,常规回撤
LV1,红旗连锁,002697,5.42,5.96,10.0%,5.07,35.3,49%,常规回撤
