级别,名称,代码,现价,目标位,空间,止损位,RSI6,历史胜率,说明
LV5,汇源通信,000586,13.27,17.73,33.6%,12.71,17.4,62%,极端恐慌
LV5,北汽蓝谷,600733,4.87,6.41,31.6%,4.71,13.0,62%,极端恐慌
LV4,中体产业,600158,6.8,10.38,52.6%,6.65,23.9,58%,冠军金坑
LV4,北新路桥,002307,3.04,4.12,35.6%,2.91,23.5,58%,冠军金坑
LV4,顺钠股份,000533,9.46,12.52,32.3%,9.08,24.0,58%,冠军金坑
LV4,爱施德,002416,9.09,11.83,30.2%,8.69,21.4,58%,冠军金坑
LV4,千里科技,601777,8.15,10.37,27.3%,7.65,24.7,58%,冠军金坑
LV4,中铝国际,601068,4.4,5.57,26.6%,4.22,23.5,58%,冠军金坑
LV3,通达股份,002560,7.58,11.0,45.1%,7.12,25.0,54%,技术超跌
LV3,舒华体育,605299,13.56,18.69,37.9%,13.16,27.6,54%,技术超跌
LV3,中国铝业,601600,8.33,10.99,31.9%,7.92,28.0,54%,技术超跌
LV3,中集集团,000039,8.26,10.65,29.0%,7.7,29.6,54%,技术超跌
LV3,科力远,600478,5.07,6.52,28.5%,4.92,26.8,54%,技术超跌
LV3,佳力图,603912,7.7,9.76,26.8%,7.37,26.1,54%,技术超跌
LV3,英联股份,002846,10.77,13.53,25.6%,10.36,27.1,54%,技术超跌
LV3,广信股份,603599,9.86,12.19,23.6%,9.48,29.5,54%,技术超跌
LV3,中钢国际,000928,5.04,6.21,23.1%,4.87,18.9,54%,技术超跌
LV3,金鹰股份,600232,6.45,7.84,21.6%,6.12,24.6,54%,技术超跌
LV3,重庆路桥,600106,4.61,5.55,20.3%,4.42,25.5,54%,技术超跌
LV2,三柏硕,001300,11.59,15.95,37.6%,11.07,31.1,51%,深度调整
LV2,新澳股份,603889,5.39,7.18,33.2%,4.94,34.4,51%,深度调整
LV2,中绿电,000537,7.44,9.76,31.2%,7.2,34.4,51%,深度调整
LV2,白银有色,601212,5.18,6.79,31.0%,4.96,34.0,51%,深度调整
LV2,中国科传,601858,17.81,23.06,29.5%,16.88,33.9,51%,深度调整
LV2,四维图新,002405,6.56,8.45,28.8%,6.3,33.3,51%,深度调整
LV2,云赛智联,600602,16.01,20.51,28.1%,15.49,32.6,51%,深度调整
LV2,南兴股份,002757,18.6,23.29,25.2%,17.65,33.5,51%,深度调整
LV2,金圆股份,000546,4.91,6.1,24.3%,4.75,31.7,51%,深度调整
LV2,宁波富达,600724,5.5,6.83,24.2%,5.27,33.7,51%,深度调整
LV2,中材国际,600970,7.31,9.06,23.9%,6.84,30.6,51%,深度调整
