级别,名称,代码,现价,目标位,空间,止损位,RSI6,历史胜率,说明
LV2,萃华珠宝,002731,7.4,10.08,36.3%,6.85,30.3,51%,深度调整
LV2,青岛双星,000599,5.52,6.48,17.3%,5.18,23.1,51%,深度调整
LV2,海峡股份,002320,8.61,10.07,17.0%,8.08,32.7,51%,深度调整
LV2,大众公用,600635,5.49,6.32,15.2%,5.13,31.3,51%,深度调整
LV1,达华智能,002512,3.8,5.47,43.9%,3.51,38.3,49%,常规回撤
LV1,农 产 品,000061,7.32,9.04,23.5%,6.89,38.9,49%,常规回撤
LV1,友阿股份,002277,5.82,7.09,21.8%,5.44,35.2,49%,常规回撤
LV1,双良节能,600481,6.55,7.92,20.9%,6.05,37.8,49%,常规回撤
LV1,合肥城建,002208,11.91,14.21,19.3%,10.93,38.3,49%,常规回撤
LV1,茂业商业,600828,5.3,6.29,18.7%,4.89,39.7,49%,常规回撤
LV1,利群股份,601366,4.08,4.72,15.7%,3.82,39.6,49%,常规回撤
LV1,华联控股,000036,4.87,5.61,15.2%,4.55,37.5,49%,常规回撤
LV1,华软科技,002453,5.23,6.01,14.9%,4.79,39.1,49%,常规回撤
LV1,东港股份,002117,9.88,11.33,14.6%,9.23,34.9,49%,常规回撤
LV1,良信股份,002706,9.72,11.13,14.5%,9.02,28.8,49%,常规回撤
LV1,海欣食品,002702,5.66,6.43,13.7%,5.14,39.2,49%,常规回撤
LV1,冀凯股份,002691,7.51,8.53,13.6%,6.77,36.9,49%,常规回撤
LV1,长城电工,600192,8.56,9.69,13.3%,8.13,37.2,49%,常规回撤
LV1,普路通,002769,10.39,11.74,13.0%,9.73,31.6,49%,常规回撤
LV1,首开股份,600376,4.91,5.54,12.7%,4.43,35.6,49%,常规回撤
LV1,永悦科技,603879,5.55,6.24,12.4%,5.0,39.8,49%,常规回撤
LV1,横店东磁,002056,18.64,20.92,12.2%,17.41,34.9,49%,常规回撤
LV1,景兴纸业,002067,4.85,5.43,11.9%,4.45,39.8,49%,常规回撤
LV1,英 力 特,000635,8.47,9.47,11.8%,7.92,33.9,49%,常规回撤
LV1,风范股份,601700,5.27,5.89,11.8%,4.94,37.3,49%,常规回撤
LV1,郴电国际,600969,9.66,10.72,11.0%,8.92,33.7,49%,常规回撤
LV1,银座股份,600858,5.78,6.37,10.2%,5.39,38.7,49%,常规回撤
