级别,名称,代码,现价,目标位,空间,止损位,RSI6,历史胜率,说明
LV3,百川股份,002455,6.49,8.85,36.4%,6.0,29.8,54%,技术超跌
LV3,北方国际,000065,8.78,11.73,33.6%,8.28,26.4,54%,技术超跌
LV3,千里科技,601777,7.61,10.06,32.1%,7.2,28.1,54%,技术超跌
LV3,凯众股份,603037,9.65,12.65,31.1%,9.06,29.2,54%,技术超跌
LV3,福达股份,603166,10.83,13.61,25.6%,9.92,27.9,54%,技术超跌
LV3,亚星化学,600319,5.91,7.21,21.9%,5.51,24.6,54%,技术超跌
LV2,福鞍股份,603315,8.4,14.55,73.2%,8.08,34.8,51%,深度调整
LV2,中天科技,600522,29.94,44.58,48.9%,27.45,31.8,51%,深度调整
LV2,山东玻纤,605006,12.91,17.42,34.9%,11.68,33.0,51%,深度调整
LV2,彩虹股份,600707,8.32,11.22,34.9%,7.48,30.7,51%,深度调整
LV2,科力远,600478,4.68,6.16,31.7%,4.41,30.2,51%,深度调整
LV2,英联股份,002846,9.96,12.93,29.9%,9.13,34.6,51%,深度调整
LV2,横店东磁,002056,20.71,24.94,20.4%,19.6,31.8,51%,深度调整
LV2,南华期货,603093,17.05,20.31,19.1%,16.11,31.7,51%,深度调整
LV2,爱柯迪,600933,13.72,16.15,17.7%,12.92,31.5,51%,深度调整
LV2,海天股份,603759,6.96,8.12,16.7%,6.57,30.7,51%,深度调整
LV2,康缘药业,600557,4.74,10.86,129.1%,4.56,34.1,51%,深度调整
LV2,常青科技,603125,11.12,23.62,112.4%,10.56,33.8,51%,深度调整
LV1,洪通燃气,605169,5.86,9.86,68.3%,5.64,35.4,49%,常规回撤
LV1,恒润股份,603985,15.22,22.26,46.2%,13.8,39.8,49%,常规回撤
LV1,安迪苏,600299,7.89,10.79,36.8%,7.62,36.2,49%,常规回撤
LV1,诺德股份,600110,8.81,11.93,35.4%,7.79,36.9,49%,常规回撤
LV1,红 宝 丽,002165,5.66,7.59,34.1%,5.29,38.1,49%,常规回撤
LV1,兰石重装,603169,6.1,7.9,29.5%,5.74,40.0,49%,常规回撤
LV1,中成股份,000151,9.28,11.83,27.5%,8.75,40.0,49%,常规回撤
LV1,双象股份,002395,12.17,15.41,26.6%,11.43,38.0,49%,常规回撤
LV1,联合水务,603291,8.1,10.18,25.7%,7.64,39.0,49%,常规回撤
LV1,山河智能,002097,6.95,8.64,24.3%,6.56,37.4,49%,常规回撤
LV1,建投能源,000600,8.0,9.85,23.1%,7.51,35.5,49%,常规回撤
LV1,东方雨虹,002271,11.04,13.49,22.2%,10.28,37.0,49%,常规回撤
LV1,国检集团,603060,5.43,6.58,21.2%,5.12,38.1,49%,常规回撤
LV1,中国宝安,000009,6.13,7.43,21.1%,5.85,38.2,49%,常规回撤
LV1,好莱客,603898,10.53,12.71,20.7%,10.0,39.7,49%,常规回撤
LV1,西大门,605155,12.33,14.61,18.5%,11.44,36.9,49%,常规回撤
LV1,科林电气,603050,7.34,18.45,151.3%,6.98,35.1,49%,常规回撤
LV1,大亚圣象,000910,5.32,6.17,15.9%,5.01,38.9,49%,常规回撤
LV1,兔 宝 宝,002043,11.39,12.93,13.6%,10.64,39.4,49%,常规回撤
LV1,中国东航,600115,3.62,4.11,13.5%,3.4,32.4,49%,常规回撤
LV1,西上海,605151,18.07,20.39,12.9%,16.96,37.7,49%,常规回撤
LV1,确成股份,605183,14.38,16.01,11.3%,13.43,32.3,49%,常规回撤
