级别,名称,代码,现价,目标位,空间,止损位,RSI6,历史胜率,说明
LV2,百洋股份,002696,5.52,6.56,18.8%,5.22,16.9,51%,深度调整
LV2,海油工程,600583,5.5,6.48,17.9%,5.24,25.0,51%,深度调整
LV2,亚太科技,002540,5.16,6.08,17.8%,4.87,33.3,51%,深度调整
LV2,第一创业,002797,6.38,7.51,17.7%,6.0,34.7,51%,深度调整
LV2,悦达投资,600805,4.44,5.21,17.2%,4.25,32.4,51%,深度调整
LV2,诚志股份,000990,8.97,10.46,16.7%,8.43,30.5,51%,深度调整
LV2,德联集团,002666,4.37,5.1,16.6%,4.12,31.1,51%,深度调整
LV2,广汽集团,601238,5.88,6.82,16.0%,5.59,31.4,51%,深度调整
LV2,莱茵生物,002166,7.48,8.67,15.9%,7.12,22.5,51%,深度调整
LV2,海陆重工,002255,9.19,10.65,15.9%,8.63,34.4,51%,深度调整
LV2,中铝国际,601068,5.06,5.84,15.4%,4.83,22.0,51%,深度调整
LV2,金河生物,002688,5.0,5.76,15.2%,4.71,30.4,51%,深度调整
LV2,东方创业,600278,6.25,7.2,15.2%,5.93,30.0,51%,深度调整
LV2,京粮控股,000505,5.63,6.48,15.1%,5.3,30.4,51%,深度调整
LV1,百利科技,603959,3.89,5.39,38.6%,3.57,36.0,49%,常规回撤
LV1,百川股份,002455,8.09,10.82,33.7%,7.7,35.8,49%,常规回撤
LV1,常宝股份,002478,7.02,9.3,32.5%,6.54,35.5,49%,常规回撤
LV1,尖峰集团,600668,7.5,9.69,29.2%,7.12,37.9,49%,常规回撤
LV1,海南华铁,603300,5.09,6.44,26.6%,4.82,38.6,49%,常规回撤
LV1,恒基达鑫,002492,5.83,7.32,25.6%,5.56,38.3,49%,常规回撤
LV1,海南海药,000566,3.88,4.87,25.6%,3.67,37.1,49%,常规回撤
LV1,如意集团,002193,4.58,5.72,24.9%,4.2,39.4,49%,常规回撤
LV1,志邦家居,603801,6.83,8.46,23.9%,6.49,40.0,49%,常规回撤
LV1,日出东方,603366,6.97,8.57,23.0%,6.65,37.5,49%,常规回撤
LV1,中粮科技,000930,4.94,6.01,21.7%,4.68,37.1,49%,常规回撤
LV1,上海九百,600838,7.73,9.39,21.4%,7.31,37.1,49%,常规回撤
LV1,天沃科技,002564,4.89,5.93,21.3%,4.54,35.6,49%,常规回撤
LV1,华菱钢铁,000932,3.84,4.65,21.2%,3.64,37.8,49%,常规回撤
LV1,两面针,600249,5.14,6.16,19.8%,4.87,35.0,49%,常规回撤
LV1,哈投股份,600864,5.22,6.25,19.7%,4.9,35.7,49%,常规回撤
LV1,新力金融,600318,6.37,7.62,19.6%,6.02,36.8,49%,常规回撤
LV1,武进不锈,603878,6.29,7.51,19.4%,5.55,40.0,49%,常规回撤
LV1,弘业期货,001236,7.59,9.04,19.1%,7.08,38.6,49%,常规回撤
LV1,天顺风能,002531,9.58,11.36,18.6%,8.92,38.2,49%,常规回撤
LV1,道生天合,601026,15.24,18.07,18.6%,14.25,36.1,49%,常规回撤
LV1,爱建集团,600643,4.05,4.79,18.3%,3.81,38.3,49%,常规回撤
LV1,广聚能源,000096,7.91,9.35,18.2%,7.51,39.4,49%,常规回撤
LV1,农 产 品,000061,6.09,7.15,17.5%,5.74,38.6,49%,常规回撤
LV1,钱江生化,600796,5.13,6.02,17.4%,4.86,37.0,49%,常规回撤
LV1,国电南自,600268,12.36,14.51,17.4%,11.51,38.2,49%,常规回撤
LV1,健友股份,603707,7.75,9.03,16.6%,7.3,39.5,49%,常规回撤
LV1,天康生物,002100,6.32,7.33,16.0%,6.05,35.7,49%,常规回撤
LV1,恒邦股份,002237,13.01,15.09,16.0%,11.78,38.6,49%,常规回撤
LV1,圆通速递,600233,17.17,19.84,15.5%,16.42,38.9,49%,常规回撤
LV1,海南机场,600515,2.98,3.44,15.4%,2.83,37.0,49%,常规回撤
LV1,金健米业,600127,5.84,6.71,14.9%,5.55,25.0,49%,常规回撤
LV1,沃华医药,002107,6.03,6.9,14.5%,5.71,29.5,49%,常规回撤
LV1,华夏航空,002928,7.0,8.01,14.5%,6.28,38.9,49%,常规回撤
LV1,中钢国际,000928,5.7,6.52,14.4%,5.31,36.0,49%,常规回撤
LV1,天山股份,000877,4.11,4.7,14.3%,3.91,37.1,49%,常规回撤
LV1,重庆路桥,600106,5.0,5.72,14.3%,4.79,25.6,49%,常规回撤
LV1,传化智联,002010,4.9,5.59,14.2%,4.66,31.3,49%,常规回撤
LV1,鲁抗医药,600789,7.16,8.18,14.2%,6.83,35.1,49%,常规回撤
LV1,保利发展,600048,5.21,5.95,14.2%,5.03,24.2,49%,常规回撤
LV1,永和智控,002795,7.31,8.34,14.1%,6.81,34.0,49%,常规回撤
LV1,渝三峡Ａ,000565,6.49,7.4,14.0%,6.16,39.7,49%,常规回撤
LV1,天润乳业,600419,8.03,9.14,13.8%,7.65,35.1,49%,常规回撤
LV1,珠免集团,600185,5.02,5.71,13.7%,4.79,31.9,49%,常规回撤
LV1,国机重装,601399,3.69,4.2,13.7%,3.45,33.3,49%,常规回撤
LV1,风神股份,600469,5.68,6.46,13.7%,5.34,34.6,49%,常规回撤
LV1,华旺科技,605377,8.26,9.37,13.5%,7.61,31.7,49%,常规回撤
LV1,金枫酒业,600616,4.26,4.84,13.5%,4.05,34.3,49%,常规回撤
LV1,华创云信,600155,5.38,6.1,13.4%,5.08,39.0,49%,常规回撤
LV1,广济药业,000952,6.27,7.11,13.4%,5.82,38.2,49%,常规回撤
LV1,新黄浦,600638,5.26,5.95,13.1%,5.0,35.9,49%,常规回撤
LV1,浙江建投,002761,7.32,8.27,13.0%,6.92,35.1,49%,常规回撤
LV1,光明肉业,600073,5.03,5.67,12.8%,4.82,36.0,49%,常规回撤
LV1,太钢不锈,000825,3.75,4.23,12.7%,3.53,37.8,49%,常规回撤
LV1,胜利股份,000407,4.08,4.59,12.6%,3.87,31.0,49%,常规回撤
LV1,三湘印象,000863,4.57,5.15,12.6%,4.31,18.4,49%,常规回撤
LV1,华鑫股份,600621,12.41,13.91,12.1%,11.67,39.1,49%,常规回撤
LV1,奥瑞金,002701,4.6,5.15,12.0%,4.36,26.9,49%,常规回撤
LV1,顺博合金,002996,6.4,7.16,11.9%,5.98,38.6,49%,常规回撤
LV1,深圳燃气,601139,6.27,7.01,11.8%,5.99,26.5,49%,常规回撤
LV1,中国中铁,601390,4.57,5.1,11.5%,4.3,37.8,49%,常规回撤
LV1,山高环能,000803,7.46,8.31,11.4%,7.01,39.7,49%,常规回撤
LV1,德美化工,002054,7.46,8.3,11.3%,7.09,37.9,49%,常规回撤
LV1,东风股份,600006,5.78,6.4,10.8%,5.46,35.3,49%,常规回撤
LV1,武汉控股,600168,4.46,4.94,10.7%,4.25,37.5,49%,常规回撤
LV1,国机汽车,600335,5.29,5.85,10.5%,5.03,33.3,49%,常规回撤
LV1,中国国航,601111,6.27,6.93,10.5%,5.76,37.9,49%,常规回撤
LV1,禾丰股份,603609,6.12,6.73,10.0%,5.85,36.8,49%,常规回撤
