级别,名称,代码,现价,目标位,空间,止损位,RSI6,历史胜率,说明
LV3,索菲亚,002572,8.55,11.59,35.5%,8.14,27.6,54%,技术超跌
LV3,金能科技,603113,4.88,6.53,33.8%,4.61,28.2,54%,技术超跌
LV3,白银有色,601212,5.76,7.39,28.4%,5.34,28.3,54%,技术超跌
LV3,中油资本,000617,7.25,9.16,26.3%,6.93,27.7,54%,技术超跌
LV3,三元股份,600429,4.4,5.47,24.3%,4.21,24.1,54%,技术超跌
LV3,国网英大,600517,4.89,6.0,22.7%,4.67,26.4,54%,技术超跌
LV2,奥美医疗,002950,9.15,11.92,30.3%,8.67,31.0,51%,深度调整
LV2,红太阳,000525,4.46,5.69,27.6%,4.24,33.3,51%,深度调整
LV2,抚顺特钢,600399,4.32,5.47,26.7%,4.05,33.8,51%,深度调整
LV2,天宸股份,600620,4.53,5.65,24.7%,4.29,34.2,51%,深度调整
LV2,蓝焰控股,000968,7.15,8.89,24.4%,6.71,32.4,51%,深度调整
LV2,山东海化,000822,4.61,5.73,24.3%,4.35,31.1,51%,深度调整
LV2,漳州发展,000753,5.08,6.31,24.2%,4.81,34.8,51%,深度调整
LV2,沙钢股份,002075,3.57,4.42,23.7%,3.36,32.4,51%,深度调整
LV2,海南高速,000886,4.37,5.35,22.5%,4.15,30.2,51%,深度调整
LV2,好想你,002582,9.44,11.37,20.5%,8.87,32.1,51%,深度调整
LV2,特一药业,002728,8.31,9.99,20.2%,7.91,30.0,51%,深度调整
LV2,农发种业,600313,5.9,7.07,19.8%,5.54,23.5,51%,深度调整
LV2,中水渔业,000798,7.84,9.39,19.8%,7.48,20.6,51%,深度调整
LV2,南山铝业,600219,4.73,5.67,19.8%,4.4,28.3,51%,深度调整
LV2,柳钢股份,601003,3.65,4.37,19.7%,3.37,31.4,51%,深度调整
LV2,华茂股份,000850,3.79,4.53,19.5%,3.59,30.6,51%,深度调整
LV2,海翔药业,002099,5.37,6.41,19.4%,5.03,23.9,51%,深度调整
LV2,海峡股份,002320,6.93,8.25,19.1%,6.56,26.2,51%,深度调整
LV2,锦龙股份,000712,8.73,10.37,18.8%,8.24,26.4,51%,深度调整
