级别,名称,代码,现价,目标位,空间,止损位,RSI6,历史胜率,说明
LV2,双良节能,600481,6.19,7.64,23.5%,5.89,33.3,51%,深度调整
LV2,横店影视,603103,20.94,24.86,18.7%,20.04,27.9,51%,深度调整
LV1,京城股份,600860,10.82,12.67,17.1%,10.35,39.6,49%,常规回撤
LV1,中水渔业,000798,9.33,10.72,14.9%,9.05,18.1,49%,常规回撤
LV1,沙钢股份,002075,4.46,5.11,14.6%,4.32,25.8,49%,常规回撤
LV1,山东出版,601019,7.54,8.64,14.6%,7.28,38.2,49%,常规回撤
LV1,博汇纸业,600966,6.33,7.24,14.3%,6.08,23.9,49%,常规回撤
LV1,新联电子,002546,8.34,9.54,14.3%,8.0,29.9,49%,常规回撤
LV1,亚玛顿,002623,21.4,24.39,14.0%,20.25,28.2,49%,常规回撤
LV1,亿帆医药,002019,11.23,12.7,13.1%,10.93,15.8,49%,常规回撤
LV1,海联金汇,002537,7.42,8.36,12.7%,7.08,32.1,49%,常规回撤
LV1,中信重工,601608,6.03,6.76,12.0%,5.8,29.7,49%,常规回撤
LV1,久远银海,002777,15.9,17.77,11.7%,15.37,33.8,49%,常规回撤
LV1,华光环能,600475,17.27,19.27,11.6%,16.49,32.3,49%,常规回撤
LV1,中航重机,600765,16.11,17.86,10.9%,15.36,37.9,49%,常规回撤
LV1,国风新材,000859,9.23,10.21,10.6%,8.74,35.1,49%,常规回撤
LV1,北新路桥,002307,4.36,4.81,10.4%,4.22,30.8,49%,常规回撤
LV1,梦网科技,002123,9.7,10.7,10.4%,9.2,31.4,49%,常规回撤
LV1,内蒙一机,600967,14.22,15.69,10.3%,13.75,32.7,49%,常规回撤
LV1,皇台酒业,000995,13.66,15.06,10.2%,13.0,31.0,49%,常规回撤
