级别,名称,代码,现价,目标位,空间,止损位,RSI6,历史胜率,说明
LV4,百川股份,002455,9.71,12.18,25.4%,9.2,20.3,58%,冠军金坑
LV3,招金黄金,000506,14.2,17.37,22.3%,13.46,17.8,54%,技术超跌
LV2,京山轻机,000821,9.86,11.98,21.5%,9.42,33.5,51%,深度调整
LV2,金岭矿业,000655,7.59,9.05,19.3%,7.16,28.4,51%,深度调整
LV2,中联重科,000157,7.3,8.55,17.2%,7.02,12.5,51%,深度调整
LV2,润邦股份,002483,6.04,7.02,16.3%,5.74,33.3,51%,深度调整
LV2,海利尔,603639,11.42,13.21,15.7%,10.83,31.1,51%,深度调整
LV1,百利科技,603959,4.65,5.92,27.4%,4.36,38.0,49%,常规回撤
LV1,确成股份,605183,16.12,19.44,20.6%,15.35,36.6,49%,常规回撤
LV1,南山铝业,600219,5.28,6.24,18.2%,4.92,39.0,49%,常规回撤
LV1,中国东航,600115,4.14,4.75,14.6%,4.03,32.1,49%,常规回撤
LV1,浙江东方,600120,5.12,5.84,14.0%,4.8,36.8,49%,常规回撤
LV1,广日股份,600894,8.37,9.5,13.5%,7.98,28.1,49%,常规回撤
LV1,天山股份,000877,4.48,4.97,11.0%,4.21,36.7,49%,常规回撤
LV1,中国铝业,601600,11.15,12.33,10.5%,10.59,38.7,49%,常规回撤
