级别,名称,代码,现价,目标位,空间,止损位,RSI6,历史胜率,说明
LV3,新 华 都,002264,6.03,7.53,24.9%,5.81,27.8,54%,技术超跌
LV3,隆鑫通用,603766,11.49,14.04,22.2%,10.89,21.2,54%,技术超跌
LV3,华菱钢铁,000932,3.7,4.46,20.6%,3.51,27.3,54%,技术超跌
LV2,ST华通,002602,13.19,15.64,18.5%,12.59,33.0,51%,深度调整
LV2,浙江医药,600216,11.82,13.96,18.1%,11.38,33.3,51%,深度调整
LV2,百花医药,600721,7.07,8.34,17.9%,6.6,22.4,51%,深度调整
LV2,南 京 港,002040,8.47,9.91,17.0%,8.04,16.2,51%,深度调整
LV1,新澳股份,603889,5.82,7.46,28.1%,5.59,37.9,49%,常规回撤
LV1,海翔药业,002099,5.16,6.22,20.5%,5.06,36.6,49%,常规回撤
LV1,维力医疗,603309,11.52,13.32,15.6%,11.1,35.4,49%,常规回撤
LV1,新洋丰,000902,12.45,14.37,15.5%,11.96,38.5,49%,常规回撤
LV1,史丹利,002588,8.65,9.95,15.0%,8.33,37.0,49%,常规回撤
LV1,基蛋生物,603387,8.1,9.25,14.2%,7.73,39.0,49%,常规回撤
LV1,金陵药业,000919,6.12,6.97,13.9%,5.83,35.8,49%,常规回撤
LV1,国药现代,600420,8.32,9.45,13.6%,8.04,30.6,49%,常规回撤
LV1,万达电影,002739,8.25,9.34,13.2%,7.73,37.0,49%,常规回撤
LV1,亿帆医药,002019,9.93,11.18,12.6%,9.56,39.5,49%,常规回撤
LV1,普莱柯,603566,10.25,11.53,12.5%,9.88,40.0,49%,常规回撤
LV1,康德莱,603987,7.19,8.07,12.2%,6.94,38.3,49%,常规回撤
LV1,良品铺子,603719,9.13,10.23,12.0%,8.78,28.4,49%,常规回撤
LV1,汉森制药,002412,5.96,6.67,11.9%,5.71,17.5,49%,常规回撤
LV1,新华医疗,600587,12.14,13.54,11.6%,11.66,20.6,49%,常规回撤
LV1,东北制药,000597,4.43,4.91,10.8%,4.26,26.3,49%,常规回撤
LV1,三全食品,002216,11.81,13.08,10.7%,11.2,23.1,49%,常规回撤
LV1,岭南控股,000524,8.95,9.91,10.7%,8.6,15.3,49%,常规回撤
LV1,中炬高新,600872,17.64,19.43,10.1%,16.81,37.8,49%,常规回撤
