级别,名称,代码,现价,目标位,空间,止损位,RSI6,历史胜率,说明
LV3,嘉应制药,002198,3.59,5.76,60.6%,3.36,26.1,54%,技术超跌
LV3,金花股份,600080,4.97,6.99,40.7%,4.62,28.8,54%,技术超跌
LV3,芯能科技,603105,7.8,10.22,31.0%,7.49,27.3,54%,技术超跌
LV3,中路股份,600818,5.77,7.29,26.3%,5.44,29.3,54%,技术超跌
LV3,海利生物,603718,3.14,3.92,24.7%,2.94,19.2,54%,技术超跌
LV3,桃李面包,603866,4.23,5.23,23.7%,3.95,26.0,54%,技术超跌
LV3,佛燃能源,002911,10.48,12.65,20.7%,10.12,20.0,54%,技术超跌
LV2,冀凯股份,002691,4.84,6.27,29.6%,4.36,34.8,51%,深度调整
LV2,中国天楹,000035,5.11,6.37,24.7%,4.84,34.4,51%,深度调整
LV2,汇嘉时代,603101,6.89,8.42,22.2%,6.62,31.0,51%,深度调整
LV2,长安汽车,000625,7.53,9.19,22.0%,7.35,31.5,51%,深度调整
LV2,华东重机,002685,6.65,8.03,20.7%,6.36,32.1,51%,深度调整
LV2,威派格,603956,4.7,5.64,20.0%,4.42,23.1,51%,深度调整
LV2,绿能慧充,600212,5.88,7.04,19.7%,5.6,34.1,51%,深度调整
LV2,海峡环保,603817,5.87,7.01,19.4%,5.65,32.1,51%,深度调整
LV2,泰尔股份,002347,6.63,7.86,18.6%,6.29,31.9,51%,深度调整
LV2,长青集团,002616,4.92,5.81,18.1%,4.77,29.3,51%,深度调整
LV2,凯龙股份,002783,7.45,8.79,18.0%,7.23,31.2,51%,深度调整
LV2,蓝科高新,601798,7.37,8.66,17.5%,7.03,19.5,51%,深度调整
LV2,德生科技,002908,7.15,8.38,17.2%,6.88,33.3,51%,深度调整
LV2,中国电建,601669,4.83,5.6,15.9%,4.71,26.8,51%,深度调整
LV2,易普力,002096,9.72,11.25,15.7%,8.92,27.6,51%,深度调整
LV1,万邦德,002082,13.03,22.36,71.6%,12.06,36.6,49%,常规回撤
LV1,东珠生态,603359,2.71,4.44,63.7%,2.51,37.8,49%,常规回撤
LV1,金能科技,603113,4.85,6.43,32.6%,4.66,35.7,49%,常规回撤
LV1,首开股份,600376,3.52,4.58,30.2%,3.35,36.2,49%,常规回撤
LV1,明阳智能,601615,12.66,16.23,28.2%,11.77,35.7,49%,常规回撤
LV1,亚光股份,603282,15.02,18.78,25.1%,14.14,37.0,49%,常规回撤
LV1,文灿股份,603348,14.96,18.35,22.7%,14.37,35.1,49%,常规回撤
LV1,西安饮食,000721,6.07,7.38,21.6%,5.87,35.7,49%,常规回撤
LV1,贝瑞基因,000710,8.06,9.77,21.2%,7.71,39.0,49%,常规回撤
LV1,泰瑞机器,603289,9.3,11.18,20.2%,8.61,36.0,49%,常规回撤
LV1,远光软件,002063,5.33,6.34,19.0%,5.18,35.5,49%,常规回撤
LV1,万马股份,002276,11.14,13.24,18.8%,10.74,39.8,49%,常规回撤
LV1,长江投资,600119,4.94,5.85,18.5%,4.6,37.0,49%,常规回撤
LV1,德创环保,603177,9.38,11.1,18.3%,8.85,36.3,49%,常规回撤
LV1,嘉诚国际,603535,6.72,7.94,18.2%,6.52,37.0,49%,常规回撤
LV1,渤海汽车,600960,4.14,4.84,17.0%,4.04,38.6,49%,常规回撤
LV1,航天机电,600151,11.78,13.78,16.9%,11.25,39.2,49%,常规回撤
LV1,华锦股份,000059,4.36,5.08,16.6%,4.08,40.0,49%,常规回撤
LV1,金鹰股份,600232,7.02,8.08,15.2%,6.77,38.3,49%,常规回撤
LV1,苏常柴Ａ,000570,5.19,5.95,14.6%,4.98,28.9,49%,常规回撤
LV1,民和股份,002234,7.08,8.1,14.4%,6.78,35.4,49%,常规回撤
LV1,中兴商业,000715,4.88,5.58,14.4%,4.72,37.3,49%,常规回撤
LV1,大亚圣象,000910,5.89,6.73,14.2%,5.69,26.8,49%,常规回撤
LV1,济民健康,603222,8.34,9.52,14.1%,7.77,39.4,49%,常规回撤
LV1,神力股份,603819,11.86,13.5,13.9%,11.07,38.3,49%,常规回撤
LV1,三峡旅游,002627,6.55,7.37,12.5%,6.33,38.1,49%,常规回撤
LV1,永辉超市,601933,3.28,3.69,12.4%,3.14,32.4,49%,常规回撤
LV1,红旗连锁,002697,4.54,5.09,12.1%,4.44,34.2,49%,常规回撤
LV1,新筑股份,002480,5.66,6.3,11.3%,5.42,22.7,49%,常规回撤
LV1,奋达科技,002681,4.97,5.51,11.0%,4.61,24.3,49%,常规回撤
LV1,徐家汇,002561,6.98,7.75,11.0%,6.68,39.3,49%,常规回撤
LV1,深康佳Ａ,000016,2.9,3.22,10.9%,2.74,28.9,49%,常规回撤
LV1,飞乐音响,600651,6.16,6.8,10.5%,5.88,25.8,49%,常规回撤
LV1,英特集团,000411,10.1,11.14,10.3%,9.3,37.9,49%,常规回撤
