级别,名称,代码,现价,目标位,空间,止损位,RSI6,历史胜率,说明
LV3,宝馨科技,002514,4.29,5.2,21.1%,4.15,29.7,54%,技术超跌
LV2,青岛双星,000599,5.46,6.45,18.1%,5.23,30.7,51%,深度调整
LV1,双良节能,600481,6.37,7.91,24.2%,6.23,37.9,49%,常规回撤
LV1,农 产 品,000061,7.23,8.94,23.7%,7.01,35.7,49%,常规回撤
LV1,宏润建设,002062,7.31,8.9,21.7%,7.1,39.0,49%,常规回撤
LV1,交建股份,603815,5.82,6.83,17.4%,5.64,37.9,49%,常规回撤
LV1,海峡股份,002320,8.51,9.98,17.2%,8.22,37.7,49%,常规回撤
LV1,利群股份,601366,4.01,4.69,16.9%,3.88,36.8,49%,常规回撤
LV1,海马汽车,000572,5.71,6.67,16.7%,5.56,37.3,49%,常规回撤
LV1,三江购物,601116,13.84,15.94,15.2%,13.36,39.5,49%,常规回撤
LV1,永悦科技,603879,5.37,6.18,15.1%,5.19,35.3,49%,常规回撤
LV1,多伦科技,603528,8.11,9.32,14.9%,7.92,39.6,49%,常规回撤
LV1,金风科技,002202,24.07,27.67,14.9%,22.55,33.7,49%,常规回撤
LV1,岭南控股,000524,10.85,12.4,14.3%,10.6,37.8,49%,常规回撤
LV1,四维图新,002405,9.11,10.39,14.1%,8.84,38.2,49%,常规回撤
LV1,首开股份,600376,4.82,5.49,13.8%,4.65,34.9,49%,常规回撤
LV1,金种子酒,600199,8.05,9.15,13.6%,7.81,35.6,49%,常规回撤
LV1,风范股份,601700,5.17,5.87,13.6%,5.02,40.0,49%,常规回撤
LV1,英 力 特,000635,8.33,9.45,13.5%,8.06,39.3,49%,常规回撤
LV1,抚顺特钢,600399,5.84,6.59,12.8%,5.69,37.8,49%,常规回撤
LV1,景兴纸业,002067,4.8,5.4,12.6%,4.63,39.8,49%,常规回撤
LV1,德昌股份,605555,15.37,17.28,12.4%,14.77,25.0,49%,常规回撤
LV1,大西洋,600558,5.48,6.13,11.9%,5.29,36.8,49%,常规回撤
LV1,七 匹 狼,002029,10.12,11.32,11.9%,9.75,39.1,49%,常规回撤
LV1,皇台酒业,000995,13.38,14.84,10.9%,12.84,37.9,49%,常规回撤
LV1,晶澳科技,002459,10.75,11.89,10.6%,10.32,38.0,49%,常规回撤
LV1,万和电气,002543,8.54,9.43,10.4%,8.31,32.1,49%,常规回撤
LV1,庄园牧场,002910,10.64,11.7,10.0%,10.42,39.8,49%,常规回撤
