级别,名称,代码,现价,目标位,空间,止损位,RSI6,历史胜率,说明
LV3,丽人丽妆,605136,7.18,9.19,28.1%,6.82,27.9,54%,技术超跌
LV3,莱茵生物,002166,6.3,7.88,25.2%,6.0,27.6,54%,技术超跌
LV3,侨银股份,002973,10.21,12.39,21.3%,9.53,23.3,54%,技术超跌
LV2,宏辉果蔬,603336,7.53,9.87,31.0%,7.13,30.4,51%,深度调整
LV2,准油股份,002207,6.0,7.65,27.6%,5.52,30.8,51%,深度调整
LV2,蓝帆医疗,002382,5.19,6.34,22.1%,4.9,30.8,51%,深度调整
LV2,海利生物,603718,2.83,3.41,20.6%,2.7,31.1,51%,深度调整
LV2,广济药业,000952,5.51,6.55,19.0%,5.22,31.3,51%,深度调整
LV2,西部创业,000557,3.54,4.16,17.5%,3.4,34.3,51%,深度调整
LV2,水发燃气,603318,8.55,9.98,16.7%,7.4,34.1,51%,深度调整
LV2,钱江摩托,000913,10.38,12.11,16.7%,9.82,33.8,51%,深度调整
LV2,达安基因,002030,5.05,5.88,16.5%,4.77,33.3,51%,深度调整
LV2,大众公用,600635,4.32,5.02,16.3%,4.13,22.5,51%,深度调整
LV2,益盛药业,002566,6.22,7.19,15.6%,5.71,33.3,51%,深度调整
LV1,威领股份,002667,11.55,20.78,79.9%,10.97,38.1,49%,常规回撤
LV1,贵广网络,600996,6.47,8.46,30.8%,5.84,39.5,49%,常规回撤
LV1,润达医疗,603108,9.17,11.95,30.3%,8.61,37.4,49%,常规回撤
LV1,东华能源,002221,5.25,6.81,29.7%,4.94,36.2,49%,常规回撤
LV1,索菲亚,002572,7.7,9.9,28.6%,7.21,36.1,49%,常规回撤
LV1,爱施德,002416,8.91,11.39,27.8%,8.31,39.5,49%,常规回撤
LV1,皇台酒业,000995,9.66,12.25,26.8%,8.98,39.8,49%,常规回撤
LV1,国光股份,002749,8.0,10.1,26.3%,7.63,39.2,49%,常规回撤
LV1,南 京 港,002040,7.66,9.36,22.2%,7.32,36.1,49%,常规回撤
LV1,华联控股,000036,4.21,5.09,21.0%,3.92,36.6,49%,常规回撤
LV1,标准股份,600302,7.86,9.51,21.0%,7.64,38.1,49%,常规回撤
LV1,莎普爱思,603168,4.9,5.8,18.3%,4.59,35.0,49%,常规回撤
LV1,海峡环保,603817,5.35,6.32,18.2%,5.08,38.7,49%,常规回撤
LV1,王力安防,605268,9.23,10.9,18.1%,8.83,39.2,49%,常规回撤
LV1,沙钢股份,002075,3.38,3.99,17.9%,3.17,37.0,49%,常规回撤
LV1,太钢不锈,000825,3.4,3.93,15.6%,3.22,37.5,49%,常规回撤
LV1,焦作万方,000612,10.32,11.9,15.3%,9.53,35.4,49%,常规回撤
LV1,惠发食品,603536,8.02,9.25,15.3%,7.6,36.4,49%,常规回撤
LV1,华帝股份,002035,4.6,5.29,14.9%,4.38,37.5,49%,常规回撤
LV1,天佑德酒,002646,6.4,7.34,14.6%,6.04,32.8,49%,常规回撤
LV1,漫步者,002351,9.23,10.58,14.6%,8.96,33.3,49%,常规回撤
LV1,李子园,605337,8.51,9.73,14.4%,8.08,39.1,49%,常规回撤
LV1,百花医药,600721,6.75,7.69,14.0%,6.25,37.3,49%,常规回撤
LV1,上海物贸,600822,7.86,8.95,13.9%,7.5,38.7,49%,常规回撤
LV1,悦达投资,600805,4.16,4.74,13.9%,3.96,40.0,49%,常规回撤
LV1,新天药业,002873,7.7,8.75,13.6%,7.14,35.7,49%,常规回撤
LV1,银座股份,600858,4.53,5.13,13.3%,4.29,40.0,49%,常规回撤
LV1,敦煌种业,600354,4.92,5.56,13.0%,4.68,37.5,49%,常规回撤
LV1,佳禾食品,605300,8.88,10.01,12.7%,8.39,39.7,49%,常规回撤
LV1,联美控股,600167,5.64,6.33,12.3%,5.32,27.0,49%,常规回撤
LV1,中牧股份,600195,6.12,6.85,11.9%,5.81,37.3,49%,常规回撤
LV1,申通地铁,600834,6.79,7.54,11.1%,6.46,40.0,49%,常规回撤
LV1,众兴菌业,002772,13.13,14.5,10.5%,11.96,35.1,49%,常规回撤
