级别,名称,代码,现价,目标位,空间,止损位,RSI6,历史胜率,说明
LV3,白银有色,601212,7.63,9.24,21.1%,7.22,20.2,54%,技术超跌
LV2,国盛证券,002670,12.64,14.97,18.4%,12.12,34.0,51%,深度调整
LV2,京城股份,600860,10.79,12.71,17.8%,10.28,30.3,51%,深度调整
LV2,青岛金王,002094,5.96,7.02,17.7%,5.69,31.6,51%,深度调整
LV2,湖南白银,002716,11.56,13.53,17.0%,10.6,24.9,51%,深度调整
LV2,上工申贝,600843,8.72,10.19,16.8%,8.1,28.4,51%,深度调整
LV2,山东出版,601019,7.46,8.67,16.2%,7.25,17.2,51%,深度调整
LV1,中国石化,600028,5.39,6.17,14.5%,5.24,39.1,49%,常规回撤
LV1,广东鸿图,002101,10.01,11.46,14.5%,9.63,30.2,49%,常规回撤
LV1,中国国航,601111,6.73,7.63,13.4%,6.49,16.3,49%,常规回撤
LV1,中国人保,601319,7.18,8.14,13.4%,6.92,29.4,49%,常规回撤
LV1,内蒙新华,603230,10.76,12.16,13.0%,10.37,25.0,49%,常规回撤
LV1,新时达,002527,12.92,14.59,12.9%,12.16,38.6,49%,常规回撤
LV1,合众思壮,002383,9.31,10.51,12.9%,8.86,26.3,49%,常规回撤
LV1,海马汽车,000572,5.59,6.29,12.5%,5.32,38.5,49%,常规回撤
LV1,智度股份,000676,7.38,8.3,12.4%,6.94,38.1,49%,常规回撤
LV1,中信重工,601608,6.05,6.78,12.1%,5.8,26.8,49%,常规回撤
LV1,南威软件,603636,8.96,10.0,11.7%,8.55,39.2,49%,常规回撤
LV1,厦门象屿,600057,7.23,8.07,11.6%,6.88,25.9,49%,常规回撤
LV1,四维图新,002405,9.03,10.03,11.1%,8.55,38.9,49%,常规回撤
LV1,深中华A,000017,6.41,7.12,11.0%,6.12,39.5,49%,常规回撤
LV1,祥和实业,603500,10.71,11.87,10.8%,10.21,38.8,49%,常规回撤
LV1,锦江在线,600650,12.49,13.79,10.4%,11.97,34.4,49%,常规回撤
LV1,罗 牛 山,000735,6.58,7.26,10.3%,6.1,31.6,49%,常规回撤
