级别,名称,代码,现价,目标位,空间,止损位,RSI6,历史胜率,说明
LV2,中路股份,600818,6.12,8.54,39.5%,5.5,34.1,51%,深度调整
LV1,三维化学,002469,6.96,8.53,22.6%,6.73,38.2,49%,常规回撤
LV1,海翔药业,002099,5.89,7.11,20.8%,5.43,36.4,49%,常规回撤
LV1,中海油服,601808,14.22,16.26,14.3%,13.78,27.3,49%,常规回撤
LV1,开滦股份,600997,5.55,6.25,12.6%,5.3,21.4,49%,常规回撤
LV1,金逸影视,002905,9.03,10.17,12.6%,8.55,34.8,49%,常规回撤
LV1,博彦科技,002649,10.68,12.0,12.3%,10.04,36.4,49%,常规回撤
LV1,贝肯能源,002828,11.47,12.84,11.9%,10.81,38.6,49%,常规回撤
LV1,拓邦股份,002139,11.07,12.23,10.5%,10.54,34.1,49%,常规回撤
