级别,名称,代码,现价,目标位,空间,止损位,RSI6,历史胜率,说明
LV2,国光股份,002749,9.42,12.5,32.7%,9.02,33.3,51%,深度调整
LV2,尖峰集团,600668,8.13,10.15,24.9%,7.68,33.9,51%,深度调整
LV2,中盐化工,600328,6.92,8.63,24.6%,6.65,35.0,51%,深度调整
LV2,双环科技,000707,4.96,5.9,19.0%,4.74,34.2,51%,深度调整
LV2,华尔泰,001217,9.97,11.82,18.6%,9.55,28.5,51%,深度调整
LV2,海油工程,600583,5.68,6.71,18.2%,5.5,29.3,51%,深度调整
LV2,金岭矿业,000655,7.35,8.64,17.5%,7.01,33.7,51%,深度调整
LV2,石基信息,002153,8.41,9.85,17.1%,8.04,30.6,51%,深度调整
LV2,ST证通,002197,6.81,7.93,16.4%,6.37,26.9,51%,深度调整
LV2,广东鸿图,002101,9.07,10.56,16.4%,8.7,32.1,51%,深度调整
LV2,文灿股份,603348,16.46,19.1,16.0%,15.58,33.3,51%,深度调整
LV2,寿仙谷,603896,15.6,18.04,15.7%,14.95,31.8,51%,深度调整
LV2,福然德,605050,11.08,12.76,15.2%,10.57,26.2,51%,深度调整
LV1,联发股份,002394,10.53,13.44,27.7%,9.6,37.8,49%,常规回撤
LV1,智度股份,000676,5.93,7.49,26.3%,5.64,37.8,49%,常规回撤
LV1,三维化学,002469,6.44,8.08,25.4%,6.13,39.6,49%,常规回撤
LV1,鸿博股份,002229,14.0,17.29,23.5%,12.99,39.9,49%,常规回撤
LV1,山东海化,000822,4.92,6.01,22.1%,4.71,38.4,49%,常规回撤
LV1,泰山石油,000554,6.85,8.22,20.0%,6.61,38.3,49%,常规回撤
LV1,电魂网络,603258,14.15,16.89,19.3%,13.48,36.1,49%,常规回撤
LV1,四川美丰,000731,6.08,7.25,19.2%,5.88,36.2,49%,常规回撤
LV1,达 意 隆,002209,12.53,14.88,18.8%,11.64,37.8,49%,常规回撤
LV1,甘咨询,000779,7.45,8.73,17.2%,7.13,37.3,49%,常规回撤
LV1,英 力 特,000635,7.12,8.25,15.8%,6.76,39.2,49%,常规回撤
LV1,奥佳华,002614,5.22,6.04,15.7%,4.97,35.8,49%,常规回撤
LV1,德生科技,002908,7.61,8.79,15.5%,7.2,35.3,49%,常规回撤
LV1,内蒙新华,603230,9.94,11.41,14.8%,9.53,39.2,49%,常规回撤
LV1,顺控发展,003039,12.97,14.82,14.3%,12.57,35.8,49%,常规回撤
LV1,永东股份,002753,6.62,7.56,14.2%,6.25,18.8,49%,常规回撤
LV1,金陵药业,000919,6.35,7.24,14.1%,6.17,39.1,49%,常规回撤
LV1,广汽集团,601238,6.21,7.08,14.0%,5.91,38.9,49%,常规回撤
LV1,中国黄金,600916,7.99,9.11,14.0%,7.71,35.2,49%,常规回撤
LV1,亚太科技,002540,5.58,6.35,13.8%,5.32,37.0,49%,常规回撤
LV1,宝地矿业,601121,6.64,7.56,13.8%,6.34,34.3,49%,常规回撤
LV1,辰欣药业,603367,13.92,15.8,13.5%,13.48,38.6,49%,常规回撤
LV1,北大医药,000788,5.39,6.11,13.4%,5.19,38.5,49%,常规回撤
LV1,普莱柯,603566,10.74,12.18,13.4%,10.35,39.6,49%,常规回撤
LV1,辉煌科技,002296,10.18,11.5,13.0%,9.76,28.5,49%,常规回撤
LV1,长青股份,002391,5.66,6.38,12.7%,5.43,29.9,49%,常规回撤
LV1,华昌化工,002274,5.74,6.46,12.6%,5.39,29.7,49%,常规回撤
LV1,通程控股,000419,5.21,5.85,12.2%,4.92,38.7,49%,常规回撤
LV1,司尔特,002538,6.22,6.97,12.1%,6.09,39.1,49%,常规回撤
LV1,全新好,000007,12.1,13.52,11.8%,10.92,37.9,49%,常规回撤
LV1,冠农股份,600251,10.07,11.26,11.8%,9.64,38.5,49%,常规回撤
LV1,联合水务,603291,10.56,11.8,11.7%,9.91,29.9,49%,常规回撤
LV1,北大荒,600598,14.49,16.15,11.5%,13.88,29.2,49%,常规回撤
LV1,中钢国际,000928,6.01,6.69,11.4%,5.71,29.3,49%,常规回撤
LV1,东方创业,600278,6.67,7.42,11.2%,6.42,32.5,49%,常规回撤
LV1,上海物贸,600822,8.89,9.87,11.1%,8.53,31.0,49%,常规回撤
LV1,卫信康,603676,9.33,10.35,10.9%,9.01,37.6,49%,常规回撤
LV1,西部创业,000557,4.22,4.68,10.8%,4.05,36.8,49%,常规回撤
LV1,胜利股份,000407,4.3,4.74,10.2%,4.05,34.5,49%,常规回撤
