级别,名称,代码,现价,目标位,空间,止损位,RSI6,历史胜率,说明
LV4,东珠生态,603359,2.84,5.21,83.4%,2.7,21.7,58%,冠军金坑
LV2,峨眉山Ａ,000888,10.37,12.24,18.0%,9.82,28.9,51%,深度调整
LV2,千禾味业,603027,7.68,9.05,17.8%,7.31,22.6,51%,深度调整
LV2,华北制药,600812,4.54,5.31,17.0%,4.37,22.0,51%,深度调整
LV2,中青旅,600138,7.82,9.01,15.2%,7.49,19.7,51%,深度调整
LV1,金花股份,600080,5.5,7.68,39.6%,5.12,36.5,49%,常规回撤
LV1,中路股份,600818,6.0,7.98,32.9%,5.75,35.3,49%,常规回撤
LV1,特一药业,002728,8.85,10.45,18.1%,8.43,39.7,49%,常规回撤
LV1,易普力,002096,10.24,11.95,16.7%,9.79,39.2,49%,常规回撤
LV1,日出东方,603366,7.69,8.95,16.4%,7.38,39.2,49%,常规回撤
LV1,首旅酒店,600258,13.2,15.25,15.5%,12.54,37.3,49%,常规回撤
LV1,赞宇科技,002637,10.85,12.47,14.9%,10.3,39.0,49%,常规回撤
LV1,金陵药业,000919,6.34,7.27,14.7%,6.07,34.6,49%,常规回撤
LV1,广联达,002410,9.9,11.31,14.2%,9.21,39.0,49%,常规回撤
LV1,健盛集团,603558,11.62,13.18,13.4%,10.83,36.4,49%,常规回撤
LV1,桃李面包,603866,4.76,5.39,13.3%,4.54,39.3,49%,常规回撤
LV1,新宝股份,002705,12.89,14.54,12.8%,11.95,35.9,49%,常规回撤
LV1,中粮资本,002423,9.17,10.31,12.4%,8.68,30.0,49%,常规回撤
LV1,永顺泰,001338,11.4,12.8,12.3%,10.72,35.7,49%,常规回撤
LV1,光明肉业,600073,5.28,5.92,12.1%,5.03,34.4,49%,常规回撤
LV1,奥普科技,603551,10.88,12.05,10.7%,10.29,28.9,49%,常规回撤
LV1,新城控股,601155,13.12,14.49,10.5%,12.24,37.6,49%,常规回撤
LV1,华森制药,002907,12.4,13.71,10.5%,11.76,37.7,49%,常规回撤
LV1,中煤能源,601898,15.68,17.3,10.3%,15.0,24.1,49%,常规回撤
LV1,海普瑞,002399,9.94,10.94,10.0%,9.43,30.9,49%,常规回撤
