级别,名称,代码,现价,目标位,空间,止损位,RSI6,历史胜率,说明
LV4,利欧股份,002131,4.35,6.15,41.3%,4.05,20.3,58%,冠军金坑
LV2,浙大网新,600797,6.33,8.0,26.4%,5.98,33.3,51%,深度调整
LV2,电广传媒,000917,6.6,8.08,22.4%,6.04,34.1,51%,深度调整
LV2,电子城,600658,3.94,4.66,18.2%,3.72,28.6,51%,深度调整
LV1,广东明珠,600382,6.28,8.25,31.4%,5.64,38.0,49%,常规回撤
LV1,天音控股,000829,7.67,9.49,23.7%,7.11,39.8,49%,常规回撤
LV1,同方股份,600100,6.83,7.8,14.2%,6.45,38.5,49%,常规回撤
LV1,永辉超市,601933,3.06,3.49,14.0%,2.89,37.5,49%,常规回撤
LV1,国新健康,000503,6.3,7.17,13.8%,5.98,32.7,49%,常规回撤
LV1,新华网,603888,17.05,19.1,12.0%,16.25,35.7,49%,常规回撤
