级别,名称,代码,现价,目标位,空间,止损位,RSI6,历史胜率,说明
LV5,北大荒,600598,11.03,14.95,35.5%,10.49,17.0,62%,极端恐慌
LV5,森林包装,605500,6.31,8.48,34.4%,6.02,18.4,62%,极端恐慌
LV5,芯能科技,603105,6.97,9.36,34.2%,6.6,20.0,62%,极端恐慌
LV5,亿利达,002686,5.2,6.89,32.5%,4.94,11.6,62%,极端恐慌
LV5,泰瑞机器,603289,8.18,10.78,31.8%,7.72,17.8,62%,极端恐慌
LV5,丽人丽妆,605136,7.29,9.58,31.4%,6.86,18.7,62%,极端恐慌
LV5,海利生物,603718,2.78,3.64,30.9%,2.54,20.0,62%,极端恐慌
LV5,积成电子,002339,7.0,9.13,30.4%,6.62,15.9,62%,极端恐慌
LV4,东珠生态,603359,2.17,3.8,75.0%,1.98,20.4,58%,冠军金坑
LV4,法尔胜,000890,8.2,12.2,48.7%,7.65,21.6,58%,冠军金坑
LV4,志邦家居,603801,5.62,7.83,39.4%,5.26,23.5,58%,冠军金坑
LV4,宁波建工,601789,4.12,5.64,37.0%,3.86,22.4,58%,冠军金坑
LV4,中信尼雅,600084,3.85,5.24,36.1%,3.65,22.6,58%,冠军金坑
LV4,中国海诚,002116,6.86,9.25,34.8%,6.53,24.4,58%,冠军金坑
LV4,山东墨龙,002490,6.46,8.58,32.8%,6.1,22.6,58%,冠军金坑
LV4,蓝焰控股,000968,6.14,8.1,32.0%,5.81,22.7,58%,冠军金坑
LV4,海马汽车,000572,3.77,4.93,30.8%,3.57,22.2,58%,冠军金坑
LV4,普路通,002769,6.75,8.8,30.4%,6.3,25.0,58%,冠军金坑
LV4,辉隆股份,002556,4.56,5.95,30.4%,4.34,21.4,58%,冠军金坑
LV4,海南华铁,603300,4.63,6.02,30.1%,4.38,24.4,58%,冠军金坑
LV4,中超控股,002471,6.09,7.91,29.9%,5.69,24.6,58%,冠军金坑
LV4,吉鑫科技,601218,4.35,5.65,29.9%,4.15,14.3,58%,冠军金坑
LV4,银星能源,000862,4.91,6.37,29.7%,4.61,24.5,58%,冠军金坑
LV4,冀东装备,000856,7.36,9.51,29.2%,6.91,22.1,58%,冠军金坑
LV4,浙江美大,002677,5.65,7.29,29.1%,5.36,16.4,58%,冠军金坑
LV4,雪天盐业,600929,4.66,5.99,28.5%,4.39,22.2,58%,冠军金坑
LV4,华西股份,000936,5.39,6.91,28.3%,5.02,23.2,58%,冠军金坑
LV4,洪通燃气,605169,9.06,11.63,28.3%,8.6,14.5,58%,冠军金坑
LV4,红太阳,000525,3.98,5.09,27.8%,3.78,13.3,58%,冠军金坑
LV4,宏达高科,002144,10.14,12.94,27.7%,9.59,20.9,58%,冠军金坑
LV4,山东海化,000822,4.11,5.24,27.5%,3.89,18.0,58%,冠军金坑
LV4,石化机械,000852,5.02,6.4,27.4%,4.8,11.1,58%,冠军金坑
LV4,绿能慧充,600212,5.28,6.72,27.3%,5.02,9.9,58%,冠军金坑
LV4,榕基软件,002474,5.88,7.48,27.2%,5.44,23.9,58%,冠军金坑
LV4,时代万恒,600241,6.67,8.47,27.0%,6.27,17.1,58%,冠军金坑
LV4,南京商旅,600250,7.92,10.05,26.9%,7.49,23.0,58%,冠军金坑
LV4,泰山石油,000554,5.73,7.26,26.8%,5.47,18.2,58%,冠军金坑
LV4,延华智能,002178,4.47,5.66,26.6%,4.18,17.3,58%,冠军金坑
LV4,招商蛇口,001979,6.57,8.31,26.5%,6.19,19.7,58%,冠军金坑
LV4,恒基达鑫,002492,5.49,6.93,26.3%,5.2,11.9,58%,冠军金坑
LV4,众信旅游,002707,4.9,6.18,26.2%,4.65,18.9,58%,冠军金坑
LV4,泰尔股份,002347,5.94,7.5,26.2%,5.56,24.4,58%,冠军金坑
LV4,亚通股份,600692,5.61,7.06,25.9%,5.25,22.2,58%,冠军金坑
LV4,沙河股份,000014,9.31,11.7,25.6%,8.84,14.9,58%,冠军金坑
LV4,先达股份,603086,5.34,6.69,25.2%,5.0,23.4,58%,冠军金坑
LV4,久其软件,002279,5.86,7.33,25.1%,5.5,20.2,58%,冠军金坑
LV3,上海能源,600508,7.64,12.46,63.2%,7.18,29.7,54%,技术超跌
LV3,远程股份,002692,3.85,5.23,35.9%,3.58,27.3,54%,技术超跌
LV3,中船科技,600072,8.78,11.63,32.4%,8.25,27.2,54%,技术超跌
LV3,景津装备,603279,12.21,16.01,31.1%,11.6,28.9,54%,技术超跌
LV3,冀中能源,000937,4.07,5.33,30.9%,3.85,27.6,54%,技术超跌
LV3,浦东建设,600284,4.97,6.48,30.4%,4.7,28.9,54%,技术超跌
LV3,兴民智通,002355,4.39,5.69,29.6%,4.13,25.9,54%,技术超跌
LV3,中衡设计,603017,10.16,13.11,29.0%,9.6,29.6,54%,技术超跌
LV3,莱茵生物,002166,6.4,8.25,28.9%,6.07,27.3,54%,技术超跌
LV3,九牧王,601566,8.28,10.63,28.4%,7.83,28.0,54%,技术超跌
LV3,天宸股份,600620,4.08,5.22,27.9%,3.8,25.9,54%,技术超跌
LV3,中视传媒,600088,11.25,14.38,27.8%,10.54,27.2,54%,技术超跌
LV3,中毅达,600610,6.77,8.61,27.2%,6.25,25.8,54%,技术超跌
LV3,国光电器,002045,8.06,10.25,27.2%,7.56,28.8,54%,技术超跌
