级别,名称,代码,现价,目标位,空间,止损位,RSI6,历史胜率,说明
LV2,昆药集团,600422,8.54,10.75,25.8%,8.13,34.6,51%,深度调整
LV2,柳钢股份,601003,3.88,4.7,21.1%,3.65,32.6,51%,深度调整
LV1,方大特钢,600507,4.79,5.9,23.1%,4.61,40.0,49%,常规回撤
LV1,西安饮食,000721,6.55,7.87,20.2%,6.22,39.5,49%,常规回撤
LV1,首旅酒店,600258,13.36,15.39,15.2%,12.88,35.7,49%,常规回撤
LV1,中国天楹,000035,6.04,6.89,14.2%,5.69,32.6,49%,常规回撤
LV1,苏垦农发,601952,8.74,9.98,14.2%,8.31,27.5,49%,常规回撤
LV1,家家悦,603708,9.78,11.0,12.5%,9.35,25.4,49%,常规回撤
LV1,王府井,600859,10.99,12.3,11.9%,10.44,26.9,49%,常规回撤
LV1,广百股份,002187,5.63,6.3,11.8%,5.36,26.5,49%,常规回撤
LV1,方大炭素,600516,5.21,5.8,11.3%,4.93,32.1,49%,常规回撤
LV1,广誉远,600771,15.15,16.82,11.0%,14.43,24.2,49%,常规回撤
LV1,国投丰乐,000713,5.93,6.56,10.6%,5.6,18.2,49%,常规回撤
LV1,利民股份,002734,16.71,18.41,10.2%,16.02,39.4,49%,常规回撤
LV1,云南旅游,002059,4.49,4.94,10.0%,4.26,33.3,49%,常规回撤
