级别,名称,代码,现价,目标位,空间,止损位,RSI6,历史胜率,说明
LV3,华东数控,002248,10.08,12.45,23.5%,9.37,22.4,54%,技术超跌
LV3,普利特,002324,12.21,14.93,22.2%,11.38,25.3,54%,技术超跌
LV2,雷科防务,002413,10.6,12.88,21.5%,10.04,32.7,51%,深度调整
LV2,银河电子,002519,6.62,7.92,19.7%,6.24,22.5,51%,深度调整
LV2,合众思壮,002383,7.84,9.39,19.7%,7.43,33.3,51%,深度调整
LV2,蓝黛科技,002765,8.24,9.83,19.3%,7.7,34.5,51%,深度调整
LV2,宁波精达,603088,10.5,12.36,17.7%,9.78,21.8,51%,深度调整
LV2,乐凯胶片,600135,9.11,10.64,16.8%,8.6,23.0,51%,深度调整
LV2,泰尔股份,002347,6.98,8.14,16.7%,6.48,30.5,51%,深度调整
LV2,多伦科技,603528,6.9,8.02,16.2%,6.48,26.6,51%,深度调整
LV1,百达精工,603331,12.74,14.76,15.9%,11.78,35.3,49%,常规回撤
LV1,金财互联,002530,7.68,8.9,15.9%,7.29,37.8,49%,常规回撤
LV1,烽火电子,000561,8.24,9.49,15.1%,7.76,37.5,49%,常规回撤
LV1,雪迪龙,002658,7.87,8.89,13.0%,7.43,33.0,49%,常规回撤
LV1,金自天正,600560,12.81,14.46,12.9%,11.89,36.5,49%,常规回撤
LV1,集泰股份,002909,5.81,6.52,12.2%,5.47,36.8,49%,常规回撤
LV1,博实股份,002698,12.47,13.82,10.8%,11.57,31.5,49%,常规回撤
