级别,名称,代码,现价,目标位,空间,止损位,RSI6,历史胜率,说明
LV2,宏润建设,002062,7.36,9.18,24.7%,6.96,33.9,51%,深度调整
LV2,合众思壮,002383,9.55,11.68,22.3%,9.11,34.4,51%,深度调整
LV2,泰尔股份,002347,8.22,9.98,21.5%,7.79,33.9,51%,深度调整
LV2,顺威股份,002676,6.52,7.87,20.7%,6.29,30.3,51%,深度调整
LV2,多伦科技,603528,8.06,9.67,20.0%,7.72,32.9,51%,深度调整
LV2,三维通信,002115,11.9,14.17,19.1%,11.32,31.5,51%,深度调整
LV2,海格通信,002465,14.72,17.4,18.2%,13.97,33.2,51%,深度调整
LV2,佳都科技,600728,5.62,6.6,17.5%,5.38,22.7,51%,深度调整
LV2,罗 牛 山,000735,6.83,8.0,17.2%,6.46,30.8,51%,深度调整
LV2,中航重机,600765,16.37,19.15,17.0%,15.66,31.8,51%,深度调整
LV2,友阿股份,002277,6.19,7.24,16.9%,5.81,34.7,51%,深度调整
LV2,秦川机床,000837,10.57,12.35,16.8%,10.1,25.7,51%,深度调整
LV2,蓝黛科技,002765,10.13,11.82,16.7%,9.68,33.1,51%,深度调整
LV2,金种子酒,600199,8.11,9.4,16.0%,7.77,27.6,51%,深度调整
LV2,武进不锈,603878,7.61,8.77,15.2%,7.07,33.1,51%,深度调整
LV1,航天机电,600151,13.03,15.84,21.6%,12.45,36.2,49%,常规回撤
LV1,徕木股份,603633,7.6,9.16,20.5%,7.3,36.4,49%,常规回撤
LV1,新 华 都,002264,8.24,9.91,20.2%,7.88,38.7,49%,常规回撤
LV1,烽火电子,000561,9.58,11.49,20.0%,9.11,35.6,49%,常规回撤
LV1,楚江新材,002171,10.96,13.04,19.0%,10.38,39.5,49%,常规回撤
LV1,普利特,002324,14.88,17.65,18.6%,14.09,37.5,49%,常规回撤
LV1,永辉超市,601933,3.82,4.5,17.7%,3.66,38.2,49%,常规回撤
LV1,万马股份,002276,14.12,16.58,17.5%,13.48,36.8,49%,常规回撤
LV1,榕基软件,002474,7.7,9.05,17.5%,7.27,36.0,49%,常规回撤
LV1,凌云股份,600480,9.84,11.52,17.1%,9.45,39.6,49%,常规回撤
LV1,中科三环,000970,11.73,13.73,17.0%,11.02,37.9,49%,常规回撤
LV1,西藏天路,600326,9.29,10.86,16.9%,8.77,36.2,49%,常规回撤
LV1,山河智能,002097,9.94,11.61,16.8%,9.49,36.6,49%,常规回撤
LV1,嘉诚国际,603535,8.43,9.85,16.8%,8.04,38.9,49%,常规回撤
