日期,代码,名称,今日跌幅,成交量比,偏离MA20,换手率
2026-05-20,600578,京能电力,-10.04%,0.56,29.1%,4.33
2026-05-20,002918,蒙娜丽莎,-10.02%,0.69,15.5%,20.58
2026-05-20,002348,高乐股份,-10.01%,0.70,16.6%,3.4
